"paper_id","source","mode","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD002548","","strict","Biological","disease","disease","δmin","True"
"PXD002548","","strict","Biological","organ","organ","inner membrane","True"
"PXD002548","","strict","Biological","species","species","Escherichia coli","True"
"PXD002548","","strict","ExperimentalDesign","factor_value","factor_value","strain (wild-type, $\Delta$min) | δmin","True"
"PXD002548","","strict","Technical","acquisition_method","acquisition_method","data-dependent acquisition","True"
"PXD002548","","strict","Technical","alkylation_reagent","alkylation_reagent","iodoacetamide","True"
"PXD002548","","strict","Technical","cleavage_agent","cleavage_agent","Trypsin","True"
"PXD002548","","strict","Technical","fragmentation","fragmentation","beam-type collision-induced dissociation","True"
"PXD002548","","strict","Technical","instrument","instrument","Orbitrap Elite","True"
"PXD002548","","strict","Technical","label","label","iTRAQ114 | iTRAQ115 | iTRAQ116 | iTRAQ117","True"
"PXD002548","","strict","Technical","mass_analyzer","mass_analyzer","Orbitrap","True"
"PXD002548","","strict","Technical","modification","modification","monohydroxylated residue | iodoacetamide derivatized residue | Representative mass and accurate mass for 116 & 117 (CHKSTY,N-term) | Deamidation (NQR) | Oxidation or Hydroxylation (CDEFHIKLMNPQRSTUVWY,C-term) | Iodoacetamide derivative (CDEHKMSTUY,N-term) | Representative mass and accurate mass for 116 & 117 | Deamidation | Oxidation or Hydroxylation | Iodoacetamide derivative","True"
