"paper_id","source","mode","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD043924","","strict","Biological","cell_type","cell_type","tachyzoites","True"
"PXD043924","","strict","Biological","organ","organ","cell culture","True"
"PXD043924","","strict","Biological","species","species","Toxoplasma gondii","True"
"PXD043924","","strict","ExperimentalDesign","factor_value","factor_value","treatment (untreated, 30 min auxin, 4 h auxin)","True"
"PXD043924","","strict","ExperimentalDesign","fractions","fractions","1","True"
"PXD043924","","strict","ExperimentalDesign","replicates","replicates","3","True"
"PXD043924","","strict","ExperimentalDesign","technical_replicates","technical_replicates","1","True"
"PXD043924","","strict","Technical","acquisition_method","acquisition_method","data-dependent acquisition","True"
"PXD043924","","strict","Technical","alkylation_reagent","alkylation_reagent","iodoacetamide","True"
"PXD043924","","strict","Technical","cleavage_agent","cleavage_agent","Lys-C","True"
"PXD043924","","strict","Technical","fragment_mass_tolerance","fragment_mass_tolerance","8 ppm","True"
"PXD043924","","strict","Technical","fragmentation","fragmentation","beam-type collision-induced dissociation","True"
"PXD043924","","strict","Technical","instrument","instrument","Q Exactive Plus","True"
"PXD043924","","strict","Technical","label","label","label free","True"
"PXD043924","","strict","Technical","mass_analyzer","mass_analyzer","orbitrap","True"
"PXD043924","","strict","Technical","modification","modification","Carbamidomethyl (C) | Phospho (STY) | Deamidation (NQ) | Loss of Lysine (K) | not applicable","True"
"PXD043924","","strict","Technical","precursor_mass_tolerance","precursor_mass_tolerance","7 ppm","True"
"PXD043924","","strict","Technical","reduction_reagent","reduction_reagent","dithiothreitol","True"
