field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	1332	0	0.0	0.0	0.0
characteristics[disease]	Biological	1800	0	0	0.0	0.0	0.0
characteristics[organism part]	Biological	1800	1800	0	0.0	0.0	0.0
characteristics[organism]	Biological	1800	1800	1800	1.0	1.0	1.0
characteristics[sex]	Biological	0	1332	0	0.0	0.0	0.0
characteristics[biological replicate]	ExperimentalDesign	1800	0	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	1800	1800	50	0.027777777777777776	0.027777777777777776	0.027777777777777776
comment[technical replicate]	ExperimentalDesign	1800	0	0	0.0	0.0	0.0
factor value[disease]	ExperimentalDesign	1800	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	1800	0	0	0.0	0.0	0.0
comment[alkylation reagent]	Technical	1800	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	1800	1800	72	0.04	0.04	0.04
comment[dissociation method]	Technical	0	1800	0	0.0	0.0	0.0
comment[instrument]	Technical	1800	1800	0	0.0	0.0	0.0
comment[label]	Technical	1800	1800	1800	1.0	1.0	1.0
comment[modification parameters]	Technical	5400	5400	5400	1.0	1.0	1.0
comment[ms2 mass analyzer]	Technical	1800	0	0	0.0	0.0	0.0
comment[proteomics data acquisition method]	Technical	0	0	0			
comment[reduction reagent]	Technical	1800	0	0	0.0	0.0	0.0
technology type	Technical	1800	0	0	0.0	0.0	0.0
