"paper_id","source","mode","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD030730","","strict","Biological","cell_line","cell_line","MDA-MB-231","True"
"PXD030730","","strict","Biological","cell_type","cell_type","breast cancer cells, epithelial cell","True"
"PXD030730","","strict","Biological","disease","disease","breast carcinoma","True"
"PXD030730","","strict","Biological","organ","organ","breast","True"
"PXD030730","","strict","Biological","species","species","Homo sapiens","True"
"PXD030730","","strict","ExperimentalDesign","factor_value","factor_value","cell type (MDA-MB-231 wild-type) | breast carcinoma","True"
"PXD030730","","strict","ExperimentalDesign","fractions","fractions","1","True"
"PXD030730","","strict","ExperimentalDesign","replicates","replicates","1","True"
"PXD030730","","strict","ExperimentalDesign","technical_replicates","technical_replicates","1","True"
"PXD030730","","strict","Technical","acquisition_method","acquisition_method","data-dependent acquisition","True"
"PXD030730","","strict","Technical","alkylation_reagent","alkylation_reagent","iodoacetamide","True"
"PXD030730","","strict","Technical","cleavage_agent","cleavage_agent","Trypsin","True"
"PXD030730","","strict","Technical","fragment_mass_tolerance","fragment_mass_tolerance","12 ppm","True"
"PXD030730","","strict","Technical","fragmentation","fragmentation","beam-type collision-induced dissociation","True"
"PXD030730","","strict","Technical","instrument","instrument","Q Exactive Plus","True"
"PXD030730","","strict","Technical","label","label","label free","True"
"PXD030730","","strict","Technical","mass_analyzer","mass_analyzer","orbitrap","True"
"PXD030730","","strict","Technical","modification","modification","Carbamidomethyl (C) | Oxidation (M) | Methyl (K) | Gln->Trp substitution (Q) | Mono-methylated lysine labelled with Acetyl_heavy (K) | not applicable","True"
"PXD030730","","strict","Technical","precursor_mass_tolerance","precursor_mass_tolerance","7 ppm","True"
"PXD030730","","strict","Technical","reduction_reagent","reduction_reagent","dithiothreitol","True"
