source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD001468-Sample-1	homo sapiens, mus musculus	kidney	not available	epithelial cell	HEK293	not available	1	not available	not available	run 1	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HEK293), mouse brain lysate	6 ppm	9 ppm	orbitrap	b1906_293T_proteinID_01A_QE3_122212.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001468-Sample-2	homo sapiens, mus musculus	kidney	not available	epithelial cell	HEK293	not available	1	not available	not available	run 2	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HEK293), mouse brain lysate	6 ppm	9 ppm	orbitrap	b1922_293T_proteinID_02A_QE3_122212.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001468-Sample-3	homo sapiens, mus musculus	kidney	not available	epithelial cell	HEK293	not available	1	not available	not available	run 3	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HEK293), mouse brain lysate	6 ppm	9 ppm	orbitrap	b1923_293T_proteinID_03A_QE3_122212.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001468-Sample-4	homo sapiens, mus musculus	kidney	not available	epithelial cell	HEK293	not available	1	not available	not available	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HEK293), mouse brain lysate	6 ppm	9 ppm	orbitrap	b1924_293T_proteinID_04A_QE3_122212.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001468-Sample-5	homo sapiens, mus musculus	kidney	not available	epithelial cell	HEK293	not available	1	not available	not available	run 5	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HEK293), mouse brain lysate	6 ppm	9 ppm	orbitrap	b1925_293T_proteinID_05A_QE3_122212.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001468-Sample-6	homo sapiens, mus musculus	kidney	not available	epithelial cell	HEK293	not available	1	not available	not available	run 6	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HEK293), mouse brain lysate	6 ppm	9 ppm	orbitrap	b1926_293T_proteinID_06A_QE3_122212.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001468-Sample-7	homo sapiens, mus musculus	kidney	not available	epithelial cell	HEK293	not available	1	not available	not available	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HEK293), mouse brain lysate	6 ppm	9 ppm	orbitrap	b1927_293T_proteinID_07A_QE3_122212.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001468-Sample-8	homo sapiens, mus musculus	kidney	not available	epithelial cell	HEK293	not available	1	not available	not available	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HEK293), mouse brain lysate	6 ppm	9 ppm	orbitrap	b1928_293T_proteinID_08A_QE3_122212.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001468-Sample-9	homo sapiens, mus musculus	kidney	not available	epithelial cell	HEK293	not available	1	not available	not available	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HEK293), mouse brain lysate	6 ppm	9 ppm	orbitrap	b1929_293T_proteinID_09A_QE3_122212.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001468-Sample-10	homo sapiens, mus musculus	kidney	not available	epithelial cell	HEK293	not available	1	not available	not available	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	24	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HEK293), mouse brain lysate	6 ppm	9 ppm	orbitrap	b1930_293T_proteinID_10A_QE3_122212.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
