source name	assay name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[individual]	comment[proteomexchange accession number]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	material type	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[technical replicate]	factor value[protocol]	factor value[staining]	sampleChecksum	sampleAccession
PXD006401-Sample 1	run 1	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	not available	mouse 1	1	PXD006401	1_DTR1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/1_DTR1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	1	DTR	unstained	4623187eadf386ab606b126ec055810a4430b37a87b4d7304a6f5a46fa6df4ae	SAMEA7717432
PXD006401-Sample 1	run 2	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	not available	mouse 1	1	PXD006401	2_DTR2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/2_DTR2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	2	DTR	unstained	4623187eadf386ab606b126ec055810a4430b37a87b4d7304a6f5a46fa6df4ae	SAMEA7717432
PXD006401-Sample 1	run 3	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	not available	mouse 1	1	PXD006401	3_DTR3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/3_DTR3.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	3	DTR	unstained	4623187eadf386ab606b126ec055810a4430b37a87b4d7304a6f5a46fa6df4ae	SAMEA7717432
PXD006401-Sample 1	run 4	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	not available	mouse 1	1	PXD006401	4_DTR4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/4_DTR4.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	4	DTR	unstained	4623187eadf386ab606b126ec055810a4430b37a87b4d7304a6f5a46fa6df4ae	SAMEA7717432
PXD006401-Sample 1	run 5	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	not available	mouse 1	1	PXD006401	5_FASP10k_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/5_FASP10k_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	5	FASP 10k	unstained	4623187eadf386ab606b126ec055810a4430b37a87b4d7304a6f5a46fa6df4ae	SAMEA7717432
PXD006401-Sample 1	run 6	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	not available	mouse 1	1	PXD006401	6_FASP10k_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/6_FASP10k_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	6	FASP 10k	unstained	4623187eadf386ab606b126ec055810a4430b37a87b4d7304a6f5a46fa6df4ae	SAMEA7717432
PXD006401-Sample 1	run 7	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	not available	mouse 1	1	PXD006401	7_FASP10k_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/7_FASP10k_3.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	7	FASP 10k	unstained	4623187eadf386ab606b126ec055810a4430b37a87b4d7304a6f5a46fa6df4ae	SAMEA7717432
PXD006401-Sample 1	run 8	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	not available	mouse 1	1	PXD006401	8_FASP10k_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/8_FASP10k_4.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	8	FASP 10k	unstained	4623187eadf386ab606b126ec055810a4430b37a87b4d7304a6f5a46fa6df4ae	SAMEA7717432
PXD006401-Sample 1	run 9	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	not available	mouse 1	1	PXD006401	9_FASP30k_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/9_FASP30k_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	9	FASP 30k	unstained	4623187eadf386ab606b126ec055810a4430b37a87b4d7304a6f5a46fa6df4ae	SAMEA7717432
PXD006401-Sample 1	run 10	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	not available	mouse 1	1	PXD006401	10_FASP30k_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/10_FASP30k_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	10	FASP 30k	unstained	4623187eadf386ab606b126ec055810a4430b37a87b4d7304a6f5a46fa6df4ae	SAMEA7717432
