pxd	data_file	category	assessed_entities	gold_entities	matched_entities	assessed_only_entities	gold_only_entities	precision	recall	f1
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac01.raw	Biological	5	6	3	2	3	0.600000	0.500000	0.545455
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac01.raw	Technical	13	8	4	9	4	0.307692	0.500000	0.380952
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac01.raw	ExperimentalDesign	5	3	1	4	2	0.200000	0.333333	0.250000
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac02.raw	Biological	5	6	3	2	3	0.600000	0.500000	0.545455
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac02.raw	Technical	13	8	4	9	4	0.307692	0.500000	0.380952
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac02.raw	ExperimentalDesign	5	3	1	4	2	0.200000	0.333333	0.250000
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac03.raw	Biological	5	6	3	2	3	0.600000	0.500000	0.545455
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac03.raw	Technical	13	8	4	9	4	0.307692	0.500000	0.380952
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac03.raw	ExperimentalDesign	5	3	1	4	2	0.200000	0.333333	0.250000
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac04.raw	Biological	5	6	3	2	3	0.600000	0.500000	0.545455
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac04.raw	Technical	13	8	4	9	4	0.307692	0.500000	0.380952
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac04.raw	ExperimentalDesign	5	3	1	4	2	0.200000	0.333333	0.250000
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac05.raw	Biological	5	6	3	2	3	0.600000	0.500000	0.545455
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac05.raw	Technical	13	8	4	9	4	0.307692	0.500000	0.380952
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac05.raw	ExperimentalDesign	5	3	1	4	2	0.200000	0.333333	0.250000
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac06.raw	Biological	5	6	3	2	3	0.600000	0.500000	0.545455
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac06.raw	Technical	13	8	4	9	4	0.307692	0.500000	0.380952
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac06.raw	ExperimentalDesign	5	3	1	4	2	0.200000	0.333333	0.250000
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac07.raw	Biological	5	6	3	2	3	0.600000	0.500000	0.545455
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac07.raw	Technical	13	8	4	9	4	0.307692	0.500000	0.380952
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac07.raw	ExperimentalDesign	5	3	1	4	2	0.200000	0.333333	0.250000
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac08.raw	Biological	5	6	3	2	3	0.600000	0.500000	0.545455
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac08.raw	Technical	13	8	4	9	4	0.307692	0.500000	0.380952
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac08.raw	ExperimentalDesign	5	3	1	4	2	0.200000	0.333333	0.250000
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac09.raw	Biological	5	6	3	2	3	0.600000	0.500000	0.545455
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac09.raw	Technical	13	8	4	9	4	0.307692	0.500000	0.380952
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac09.raw	ExperimentalDesign	5	3	1	4	2	0.200000	0.333333	0.250000
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac10.raw	Biological	5	6	3	2	3	0.600000	0.500000	0.545455
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac10.raw	Technical	13	8	4	9	4	0.307692	0.500000	0.380952
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac10.raw	ExperimentalDesign	5	3	1	4	2	0.200000	0.333333	0.250000
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac11.raw	Biological	5	6	3	2	3	0.600000	0.500000	0.545455
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac11.raw	Technical	13	8	4	9	4	0.307692	0.500000	0.380952
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac11.raw	ExperimentalDesign	5	3	1	4	2	0.200000	0.333333	0.250000
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac12.raw	Biological	5	6	3	2	3	0.600000	0.500000	0.545455
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac12.raw	Technical	13	8	4	9	4	0.307692	0.500000	0.380952
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Atrium_Frac12.raw	ExperimentalDesign	5	3	2	3	1	0.400000	0.666667	0.500000
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac01.raw	Biological	5	6	3	2	3	0.600000	0.500000	0.545455
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac01.raw	Technical	13	8	4	9	4	0.307692	0.500000	0.380952
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac01.raw	ExperimentalDesign	5	3	1	4	2	0.200000	0.333333	0.250000
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac02.raw	Biological	5	6	3	2	3	0.600000	0.500000	0.545455
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac02.raw	Technical	13	8	4	9	4	0.307692	0.500000	0.380952
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac02.raw	ExperimentalDesign	5	3	1	4	2	0.200000	0.333333	0.250000
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac03.raw	Biological	5	6	3	2	3	0.600000	0.500000	0.545455
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac03.raw	Technical	13	8	4	9	4	0.307692	0.500000	0.380952
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac03.raw	ExperimentalDesign	5	3	1	4	2	0.200000	0.333333	0.250000
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac04.raw	Biological	5	6	3	2	3	0.600000	0.500000	0.545455
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac04.raw	Technical	13	8	4	9	4	0.307692	0.500000	0.380952
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac04.raw	ExperimentalDesign	5	3	1	4	2	0.200000	0.333333	0.250000
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac05.raw	Biological	5	6	3	2	3	0.600000	0.500000	0.545455
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac05.raw	Technical	13	8	4	9	4	0.307692	0.500000	0.380952
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac05.raw	ExperimentalDesign	5	3	1	4	2	0.200000	0.333333	0.250000
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac06.raw	Biological	5	6	3	2	3	0.600000	0.500000	0.545455
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac06.raw	Technical	13	8	4	9	4	0.307692	0.500000	0.380952
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac06.raw	ExperimentalDesign	5	3	1	4	2	0.200000	0.333333	0.250000
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac07.raw	Biological	5	6	3	2	3	0.600000	0.500000	0.545455
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac07.raw	Technical	13	8	4	9	4	0.307692	0.500000	0.380952
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac07.raw	ExperimentalDesign	5	3	1	4	2	0.200000	0.333333	0.250000
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac08.raw	Biological	5	6	3	2	3	0.600000	0.500000	0.545455
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac08.raw	Technical	13	8	4	9	4	0.307692	0.500000	0.380952
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac08.raw	ExperimentalDesign	5	3	1	4	2	0.200000	0.333333	0.250000
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac09.raw	Biological	5	6	3	2	3	0.600000	0.500000	0.545455
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac09.raw	Technical	13	8	4	9	4	0.307692	0.500000	0.380952
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac09.raw	ExperimentalDesign	5	3	1	4	2	0.200000	0.333333	0.250000
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac10.raw	Biological	5	6	3	2	3	0.600000	0.500000	0.545455
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac10.raw	Technical	13	8	4	9	4	0.307692	0.500000	0.380952
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac10.raw	ExperimentalDesign	5	3	1	4	2	0.200000	0.333333	0.250000
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac11.raw	Biological	5	6	3	2	3	0.600000	0.500000	0.545455
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac11.raw	Technical	13	8	4	9	4	0.307692	0.500000	0.380952
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac11.raw	ExperimentalDesign	5	3	1	4	2	0.200000	0.333333	0.250000
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac12.raw	Biological	5	6	3	2	3	0.600000	0.500000	0.545455
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac12.raw	Technical	13	8	4	9	4	0.307692	0.500000	0.380952
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Left_Ventricle_Frac12.raw	ExperimentalDesign	5	3	2	3	1	0.400000	0.666667	0.500000
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Right_Atrium_Frac01.raw	Biological	5	6	3	2	3	0.600000	0.500000	0.545455
PXD008722	20160715_QE5_nLC7_NL_Human_Heart_097_Right_Atrium_Frac01.raw	Technical	13	8	4	9	4	0.307692	0.500000	0.380952
