source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[alkylation reagent]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD002080-Sample-1	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 1	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-A6-3810-01A-22_W_VU_20121029_A0218_5E_R_FR13.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-2	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 2	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3552-01A-22_W_VU_20130125_A0218_9F_R_FR01.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-3	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 3	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3531-01A-22_W_VU_20130101_A0218_8G_R_FR03.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-4	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 4	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-A6-3807-01A-22_W_VU_20121019_A0218_4I_R_FR05.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-5	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 5	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3534-01A-22_W_VU_20130209_A0218_10B_R_FR12.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-6	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 6	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3525-01A-12_W_VU_20121210_A0218_7F_R_FR04.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-7	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 7	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3529-01A-12_W_VU_20121203_A0218_7B_R_FR02.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-8	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 8	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3529-01A-12_W_VU_20121204_A0218_7B_R_FR15.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-9	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 9	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3534-01A-22_W_VU_20130208_A0218_10B_R_FR06.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-10	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 10	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3552-01A-22_W_VU_20130125_A0218_9F_R_FR02.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
