source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD029574-Sample-1	Homo sapiens, Mus musculus	cervix	cervical adenocarcinoma	epithelial cell	HeLa, FreeStyle 293-F, HepG2	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	Thermo Fisher Q Exactive, Sciex Triple Quad 6500, Q-Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	fraction (1-11)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	0.02 Da	dithiothreitol	iodoacetamide	orbitrap	MSB39528A.raw	v1.1.0	HAMLET-agentic v2.1.0	cervical adenocarcinoma
PXD029574-Sample-2	Homo sapiens, Mus musculus	cervix	cervical adenocarcinoma	epithelial cell	HeLa, FreeStyle 293-F, HepG2	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	Thermo Fisher Q Exactive, Sciex Triple Quad 6500, Q-Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	fraction (1-11)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	0.02 Da	dithiothreitol	iodoacetamide	orbitrap	MSB39528A.raw	v1.1.0	HAMLET-agentic v2.1.0	cervical adenocarcinoma
PXD029574-Sample-3	Homo sapiens, Mus musculus	cervix	cervical adenocarcinoma	epithelial cell	HeLa, FreeStyle 293-F, HepG2	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	Thermo Fisher Q Exactive, Sciex Triple Quad 6500, Q-Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	fraction (1-11)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	0.02 Da	dithiothreitol	iodoacetamide	orbitrap	MSB39528A.raw	v1.1.0	HAMLET-agentic v2.1.0	cervical adenocarcinoma
PXD029574-Sample-4	Homo sapiens, Mus musculus	cervix	cervical adenocarcinoma	epithelial cell	HeLa, FreeStyle 293-F, HepG2	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	Thermo Fisher Q Exactive, Sciex Triple Quad 6500, Q-Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	fraction (1-11)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	0.02 Da	dithiothreitol	iodoacetamide	orbitrap	MSB39528A.raw	v1.1.0	HAMLET-agentic v2.1.0	cervical adenocarcinoma
PXD029574-Sample-5	Homo sapiens, Mus musculus	cervix	cervical adenocarcinoma	epithelial cell	HeLa, FreeStyle 293-F, HepG2	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130	Thermo Fisher Q Exactive, Sciex Triple Quad 6500, Q-Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	fraction (1-11)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	0.02 Da	dithiothreitol	iodoacetamide	orbitrap	MSB39528A.raw	v1.1.0	HAMLET-agentic v2.1.0	cervical adenocarcinoma
PXD029574-Sample-6	Homo sapiens, Mus musculus	cervix	cervical adenocarcinoma	epithelial cell	HeLa, FreeStyle 293-F, HepG2	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	Thermo Fisher Q Exactive, Sciex Triple Quad 6500, Q-Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	fraction (1-11)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	0.02 Da	dithiothreitol	iodoacetamide	orbitrap	MSB39528A.raw	v1.1.0	HAMLET-agentic v2.1.0	cervical adenocarcinoma
PXD029574-Sample-7	Homo sapiens, Mus musculus	cervix	cervical adenocarcinoma	epithelial cell	HeLa, FreeStyle 293-F, HepG2	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	Thermo Fisher Q Exactive, Sciex Triple Quad 6500, Q-Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	fraction (1-11)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	0.02 Da	dithiothreitol	iodoacetamide	orbitrap	MSB39529A.raw	v1.1.0	HAMLET-agentic v2.1.0	cervical adenocarcinoma
PXD029574-Sample-8	Homo sapiens, Mus musculus	cervix	cervical adenocarcinoma	epithelial cell	HeLa, FreeStyle 293-F, HepG2	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	Thermo Fisher Q Exactive, Sciex Triple Quad 6500, Q-Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	fraction (1-11)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	0.02 Da	dithiothreitol	iodoacetamide	orbitrap	MSB39529A.raw	v1.1.0	HAMLET-agentic v2.1.0	cervical adenocarcinoma
PXD029574-Sample-9	Homo sapiens, Mus musculus	cervix	cervical adenocarcinoma	epithelial cell	HeLa, FreeStyle 293-F, HepG2	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	Thermo Fisher Q Exactive, Sciex Triple Quad 6500, Q-Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	fraction (1-11)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	0.02 Da	dithiothreitol	iodoacetamide	orbitrap	MSB39529A.raw	v1.1.0	HAMLET-agentic v2.1.0	cervical adenocarcinoma
PXD029574-Sample-10	Homo sapiens, Mus musculus	cervix	cervical adenocarcinoma	epithelial cell	HeLa, FreeStyle 293-F, HepG2	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	Thermo Fisher Q Exactive, Sciex Triple Quad 6500, Q-Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	fraction (1-11)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	0.02 Da	dithiothreitol	iodoacetamide	orbitrap	MSB39529A.raw	v1.1.0	HAMLET-agentic v2.1.0	cervical adenocarcinoma
