source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[compound]	characteristics[phenotype]	characteristics[biological replicate]	comment[technical replicate]	comment[data file]	assay name	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]
PVV1	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	vehicle	ligand-binding domain mutant TRb (PV)	1	1	qe+2020_0176_3.1.raw	run 1	1	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
PVV1	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	vehicle 	ligand-binding domain mutant TRb (PV)	1	1	qe+2020_0170_3.2.raw	run 1	2	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
PVV1	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	vehicle	ligand-binding domain mutant TRb (PV)	1	1	qe+2020_0182_3.3.raw	run 1	3	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
PVV2	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	vehicle	ligand-binding domain mutant TRb (PV)	2	2	qe+2020_0177_4.1.raw	run 1	1	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
PVV2	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	vehicle 	ligand-binding domain mutant TRb (PV)	2	2	qe+2020_0171_4.2.raw	run 1	2	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
PVV2	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	vehicle	ligand-binding domain mutant TRb (PV)	2	2	qe+2020_0183_4.3.raw	run 1	3	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
PVT1	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	T3	ligand-binding domain mutant TRb (PV)	1	1	qe+2020_0178_5.1.raw	run 1	1	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
PVT1	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	T3	ligand-binding domain mutant TRb (PV)	1	1	qe+2020_0172_5.2.raw	run 1	2	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
PVT1	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	T3	ligand-binding domain mutant TRb (PV)	1	1	qe+2020_0184_5.3.raw	run 1	3	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
PVT2	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	T3	ligand-binding domain mutant TRb (PV)	2	2	qe+2020_0179_6.1.raw	run 1	1	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
