source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD014145-Sample-1	homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	8	not available	not available	run 1	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (siControl, siKMT9α#1)	7 ppm	11 ppm	orbitrap	MFA380.raw	v1.1.0	HAMLET-agentic v0.1.0	lung adenocarcinoma
PXD014145-Sample-2	homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	8	not available	not available	run 2	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (siControl, siKMT9α#1)	7 ppm	11 ppm	orbitrap	MFA381.raw	v1.1.0	HAMLET-agentic v0.1.0	lung adenocarcinoma
PXD014145-Sample-3	homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	8	not available	not available	run 3	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (siControl, siKMT9α#1)	7 ppm	11 ppm	orbitrap	MFA382.raw	v1.1.0	HAMLET-agentic v0.1.0	lung adenocarcinoma
PXD014145-Sample-4	homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	8	not available	not available	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (siControl, siKMT9α#1)	7 ppm	11 ppm	orbitrap	MFA383.raw	v1.1.0	HAMLET-agentic v0.1.0	lung adenocarcinoma
PXD014145-Sample-5	homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	8	not available	not available	run 5	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (siControl, siKMT9α#1)	7 ppm	11 ppm	orbitrap	MFA384.raw	v1.1.0	HAMLET-agentic v0.1.0	lung adenocarcinoma
PXD014145-Sample-6	homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	8	not available	not available	run 6	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (siControl, siKMT9α#1)	7 ppm	11 ppm	orbitrap	MFA385.raw	v1.1.0	HAMLET-agentic v0.1.0	lung adenocarcinoma
PXD014145-Sample-7	homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	8	not available	not available	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (siControl, siKMT9α#1)	7 ppm	11 ppm	orbitrap	MFA386.raw	v1.1.0	HAMLET-agentic v0.1.0	lung adenocarcinoma
PXD014145-Sample-8	homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	8	not available	not available	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (siControl, siKMT9α#1)	7 ppm	11 ppm	orbitrap	MFA387.raw	v1.1.0	HAMLET-agentic v0.1.0	lung adenocarcinoma
PXD014145-Sample-9	homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	8	not available	not available	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (siControl, siKMT9α#1)	7 ppm	11 ppm	orbitrap	MFA388.raw	v1.1.0	HAMLET-agentic v0.1.0	lung adenocarcinoma
PXD014145-Sample-10	homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	8	not available	not available	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (siControl, siKMT9α#1)	7 ppm	11 ppm	orbitrap	MFA389.raw	v1.1.0	HAMLET-agentic v0.1.0	lung adenocarcinoma
PXD014145-Sample-11	homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	8	not available	not available	run 11	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (siControl, siKMT9α#1)	7 ppm	11 ppm	orbitrap	MFA390.raw	v1.1.0	HAMLET-agentic v0.1.0	lung adenocarcinoma
PXD014145-Sample-12	homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	8	not available	not available	run 12	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (siControl, siKMT9α#1)	7 ppm	11 ppm	orbitrap	MFA391.raw	v1.1.0	HAMLET-agentic v0.1.0	lung adenocarcinoma
