source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD007160-Sample-1	homo sapiens	brain, frontal cortex, anterior cingulate gyrus	controls, ad, pd, and co-morbid ad/pd	80	not available	not available	run 1	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	21	1	NT=collision-induced dissociation;AC=MS:1000133	disease state (controls, AD, PD, AD/PD), brain region (frontal cortex, anterior cingulate gyrus)	6.1 ppm	-0.353487 ppm	orbitrap	anteriorcingulategyrus_batch2_fraction03.raw	v1.1.0	HAMLET-agentic v0.1.0	controls, ad, pd, and co-morbid ad/pd
PXD007160-Sample-2	homo sapiens	brain, frontal cortex, anterior cingulate gyrus	controls, ad, pd, and co-morbid ad/pd	80	not available	not available	run 2	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	21	1	NT=collision-induced dissociation;AC=MS:1000133	disease state (controls, AD, PD, AD/PD), brain region (frontal cortex, anterior cingulate gyrus)	6.1 ppm	-0.353487 ppm	orbitrap	anteriorcingulategyrus_batch2_fraction08.raw	v1.1.0	HAMLET-agentic v0.1.0	controls, ad, pd, and co-morbid ad/pd
PXD007160-Sample-3	homo sapiens	brain, frontal cortex, anterior cingulate gyrus	controls, ad, pd, and co-morbid ad/pd	80	not available	not available	run 3	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	21	1	NT=collision-induced dissociation;AC=MS:1000133	disease state (controls, AD, PD, AD/PD), brain region (frontal cortex, anterior cingulate gyrus)	6.1 ppm	-0.353487 ppm	orbitrap	anteriorcingulategyrus_batch2_fraction13.raw	v1.1.0	HAMLET-agentic v0.1.0	controls, ad, pd, and co-morbid ad/pd
PXD007160-Sample-4	homo sapiens	brain, frontal cortex, anterior cingulate gyrus	controls, ad, pd, and co-morbid ad/pd	80	not available	not available	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	21	1	NT=collision-induced dissociation;AC=MS:1000133	disease state (controls, AD, PD, AD/PD), brain region (frontal cortex, anterior cingulate gyrus)	6.1 ppm	-0.353487 ppm	orbitrap	anteriorcingulategyrus_batch2_fraction16.raw	v1.1.0	HAMLET-agentic v0.1.0	controls, ad, pd, and co-morbid ad/pd
PXD007160-Sample-5	homo sapiens	brain, frontal cortex, anterior cingulate gyrus	controls, ad, pd, and co-morbid ad/pd	80	not available	not available	run 5	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	21	1	NT=collision-induced dissociation;AC=MS:1000133	disease state (controls, AD, PD, AD/PD), brain region (frontal cortex, anterior cingulate gyrus)	6.1 ppm	-0.353487 ppm	orbitrap	anteriorcingulategyrus_batch3_fraction04.raw	v1.1.0	HAMLET-agentic v0.1.0	controls, ad, pd, and co-morbid ad/pd
PXD007160-Sample-6	homo sapiens	brain, frontal cortex, anterior cingulate gyrus	controls, ad, pd, and co-morbid ad/pd	80	not available	not available	run 6	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	21	1	NT=collision-induced dissociation;AC=MS:1000133	disease state (controls, AD, PD, AD/PD), brain region (frontal cortex, anterior cingulate gyrus)	6.1 ppm	-0.353487 ppm	orbitrap	anteriorcingulategyrus_batch3_fraction08.raw	v1.1.0	HAMLET-agentic v0.1.0	controls, ad, pd, and co-morbid ad/pd
PXD007160-Sample-7	homo sapiens	brain, frontal cortex, anterior cingulate gyrus	controls, ad, pd, and co-morbid ad/pd	80	not available	not available	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	21	1	not available	disease state (controls, AD, PD, AD/PD), brain region (frontal cortex, anterior cingulate gyrus)	6.1 ppm	-0.353487 ppm	orbitrap	anteriorcingulategyrus_batch3_fraction15.raw	v1.1.0	HAMLET-agentic v0.1.0	controls, ad, pd, and co-morbid ad/pd
PXD007160-Sample-8	homo sapiens	brain, frontal cortex, anterior cingulate gyrus	controls, ad, pd, and co-morbid ad/pd	80	not available	not available	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	21	1	NT=collision-induced dissociation;AC=MS:1000133	disease state (controls, AD, PD, AD/PD), brain region (frontal cortex, anterior cingulate gyrus)	6.1 ppm	-0.353487 ppm	orbitrap	anteriorcingulategyrus_batch3_fraction16.raw	v1.1.0	HAMLET-agentic v0.1.0	controls, ad, pd, and co-morbid ad/pd
PXD007160-Sample-9	homo sapiens	brain, frontal cortex, anterior cingulate gyrus	controls, ad, pd, and co-morbid ad/pd	80	not available	not available	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	21	1	NT=collision-induced dissociation;AC=MS:1000133	disease state (controls, AD, PD, AD/PD), brain region (frontal cortex, anterior cingulate gyrus)	6.1 ppm	-0.353487 ppm	orbitrap	anteriorcingulategyrus_batch4_fraction04.raw	v1.1.0	HAMLET-agentic v0.1.0	controls, ad, pd, and co-morbid ad/pd
PXD007160-Sample-10	homo sapiens	brain, frontal cortex, anterior cingulate gyrus	controls, ad, pd, and co-morbid ad/pd	80	not available	not available	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion	not available	21	1	NT=collision-induced dissociation;AC=MS:1000133	disease state (controls, AD, PD, AD/PD), brain region (frontal cortex, anterior cingulate gyrus)	6.1 ppm	-0.353487 ppm	orbitrap	anteriorcingulategyrus_batch4_fraction06.raw	v1.1.0	HAMLET-agentic v0.1.0	controls, ad, pd, and co-morbid ad/pd
