field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	27	0	0.0	0.0	0.0
characteristics[disease]	Biological	27	27	14	0.5185185185185185	0.5185185185185185	0.5185185185185185
characteristics[organism part]	Biological	27	27	0	0.0	0.0	0.0
characteristics[organism]	Biological	27	27	27	1.0	1.0	1.0
characteristics[sex]	Biological	0	0	0			
characteristics[biological replicate]	ExperimentalDesign	27	0	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	27	27	27	1.0	1.0	1.0
comment[technical replicate]	ExperimentalDesign	27	27	27	1.0	1.0	1.0
factor value[disease]	ExperimentalDesign	27	27	14	0.5185185185185185	0.5185185185185185	0.5185185185185185
factor value[experimental design]	ExperimentalDesign	27	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	0	27	0	0.0	0.0	0.0
comment[dissociation method]	Technical	27	0	0	0.0	0.0	0.0
comment[fragment mass tolerance]	Technical	27	27	0	0.0	0.0	0.0
comment[instrument]	Technical	27	27	27	1.0	1.0	1.0
comment[label]	Technical	27	27	0	0.0	0.0	0.0
comment[ms2 mass analyzer]	Technical	27	0	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	27	27	0	0.0	0.0	0.0
comment[proteomics data acquisition method]	Technical	27	0	0	0.0	0.0	0.0
technology type	Technical	27	0	0	0.0	0.0	0.0
