paper_id,total_extracted,judge_n_correct,judge_n_hallucinated,judge_n_mismatch,judge_n_wrong,judge_n_incomplete,judge_n_corrected,judge_n_technical_not_in_text,judge_n_inferred,judge_accuracy,judge_accuracy_adjusted,judge_accuracy_with_inference,source,mode
PXD001856,27,22,0,3,2,0,2,0,0,0.8148,0.8148,0.8148,human_annotation,strict
PXD001856,27,20,0,3,2,0,3,0,2,0.7407,0.7407,0.8148,human_annotation,inference
PXD001856,26,24,1,0,0,1,1,0,0,0.9231,0.9231,0.9231,hamlet_raw,strict
PXD001856,26,21,0,0,0,1,2,0,4,0.8077,0.8077,0.9615,hamlet_raw,inference
PXD001856,27,23,1,2,0,1,3,0,0,0.8519,0.8519,0.8519,hamlet_harmonized,strict
PXD001856,27,19,0,2,0,1,4,0,5,0.7037,0.7037,0.8889,hamlet_harmonized,inference
PXD002619,19,10,5,1,1,2,9,0,0,0.5263,0.5263,0.5263,human_annotation,strict
PXD002619,19,11,3,2,2,0,9,0,1,0.5789,0.5789,0.6316,human_annotation,inference
PXD002619,23,21,0,0,1,1,2,0,0,0.913,0.913,0.913,hamlet_raw,strict
PXD002619,23,20,0,0,1,0,1,0,2,0.8696,0.8696,0.9565,hamlet_raw,inference
PXD002619,24,18,0,1,1,1,5,3,0,0.75,0.875,0.75,hamlet_harmonized,strict
PXD002619,24,17,0,2,1,0,4,2,2,0.7083,0.7917,0.7917,hamlet_harmonized,inference
PXD005982,27,22,2,3,0,0,2,0,0,0.8148,0.8148,0.8148,human_annotation,strict
PXD005982,27,19,1,3,0,0,3,0,4,0.7037,0.7037,0.8519,human_annotation,inference
PXD005982,20,19,0,1,0,0,0,0,0,0.95,0.95,0.95,hamlet_raw,strict
PXD005982,20,16,0,1,0,0,1,0,3,0.8,0.8,0.95,hamlet_raw,inference
PXD005982,20,19,0,1,0,0,0,0,0,0.95,0.95,0.95,hamlet_harmonized,strict
PXD005982,20,16,0,1,0,0,1,0,3,0.8,0.8,0.95,hamlet_harmonized,inference
PXD006847,25,19,0,5,1,0,2,0,0,0.76,0.76,0.76,human_annotation,strict
PXD006847,25,15,0,5,1,0,3,0,4,0.6,0.6,0.76,human_annotation,inference
PXD006847,23,18,2,0,0,3,4,0,0,0.7826,0.7826,0.7826,hamlet_raw,strict
PXD006847,23,18,2,0,0,1,4,0,2,0.7826,0.7826,0.8696,hamlet_raw,inference
PXD006847,24,16,2,1,0,5,7,0,0,0.6667,0.6667,0.6667,hamlet_harmonized,strict
PXD006847,24,16,2,1,0,4,7,0,1,0.6667,0.6667,0.7083,hamlet_harmonized,inference
PXD012439,15,10,0,4,0,0,1,1,0,0.6667,0.7333,0.6667,human_annotation,strict
PXD012439,15,10,0,4,0,0,3,1,0,0.6667,0.7333,0.6667,human_annotation,inference
PXD012439,15,13,1,1,0,0,0,0,0,0.8667,0.8667,0.8667,hamlet_raw,strict
PXD012439,15,12,1,1,0,0,0,0,1,0.8,0.8,0.8667,hamlet_raw,inference
PXD012439,19,11,1,2,1,0,2,4,0,0.5789,0.7895,0.5789,hamlet_harmonized,strict
PXD012439,19,10,1,2,1,0,2,4,1,0.5263,0.7368,0.5789,hamlet_harmonized,inference
PXD013543,18,9,3,1,0,5,6,0,0,0.5,0.5,0.5,human_annotation,strict
PXD013543,18,9,1,1,0,3,4,0,4,0.5,0.5,0.7222,human_annotation,inference
PXD013543,22,17,0,1,1,3,4,0,0,0.7727,0.7727,0.7727,hamlet_raw,strict
PXD013543,22,15,0,1,1,2,3,0,3,0.6818,0.6818,0.8182,hamlet_raw,inference
PXD013543,22,17,0,1,1,3,4,0,0,0.7727,0.7727,0.7727,hamlet_harmonized,strict
PXD013543,22,15,0,1,1,2,3,0,3,0.6818,0.6818,0.8182,hamlet_harmonized,inference
PXD013809,22,18,1,1,0,2,3,0,0,0.8182,0.8182,0.8182,human_annotation,strict
PXD013809,22,15,1,1,0,3,4,0,2,0.6818,0.6818,0.7727,human_annotation,inference
PXD013809,25,18,2,1,1,3,6,0,0,0.72,0.72,0.72,hamlet_raw,strict
PXD013809,25,14,2,1,1,3,7,0,4,0.56,0.56,0.72,hamlet_raw,inference
PXD013809,26,16,2,2,1,3,8,2,0,0.6154,0.6923,0.6154,hamlet_harmonized,strict
PXD013809,26,12,2,2,1,3,10,2,4,0.4615,0.5385,0.6154,hamlet_harmonized,inference
PXD014762,18,11,2,4,1,0,4,0,0,0.6111,0.6111,0.6111,human_annotation,strict
PXD014762,18,10,1,5,0,0,5,0,2,0.5556,0.5556,0.6667,human_annotation,inference
PXD014762,21,19,0,0,2,0,1,0,0,0.9048,0.9048,0.9048,hamlet_raw,strict
PXD014762,21,15,1,0,0,0,1,0,5,0.7143,0.7143,0.9524,hamlet_raw,inference
PXD014762,22,17,0,1,3,0,4,1,0,0.7727,0.8182,0.7727,hamlet_harmonized,strict
PXD014762,22,13,1,1,0,0,4,1,6,0.5909,0.6364,0.8636,hamlet_harmonized,inference
PXD015272,14,5,3,6,0,0,8,0,0,0.3571,0.3571,0.3571,human_annotation,strict
PXD015272,14,5,4,4,0,0,7,0,1,0.3571,0.3571,0.4286,human_annotation,inference
PXD015272,23,21,1,0,0,1,1,0,0,0.913,0.913,0.913,hamlet_raw,strict
PXD015272,23,16,1,0,0,1,1,0,5,0.6957,0.6957,0.913,hamlet_raw,inference
PXD015272,23,21,1,0,0,1,1,0,0,0.913,0.913,0.913,hamlet_harmonized,strict
PXD015272,23,16,1,0,0,1,1,0,5,0.6957,0.6957,0.913,hamlet_harmonized,inference
PXD015289,28,22,2,4,0,0,3,0,0,0.7857,0.7857,0.7857,human_annotation,strict
PXD015289,28,17,2,5,0,2,6,0,2,0.6071,0.6071,0.6786,human_annotation,inference
