"paper_id","source","mode","agent","annotation_type","extracted_value","all_values_for_field","verdict","type_mismatch","correct_type","value_correct","value_complete","hallucination","technical_origin","inference","error_category","issue_summary","corrected_value"
"PXD001468","","strict","Biological","cell_line","HEK293","HEK293","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a named immortalized cell line, which matches the field definition.
SOURCE CHECK: The value is explicitly mentioned in the text as the source of the proteome-wide dataset (""HEK293 cells were lysed, trypsinized... and analyzed by LC-MS/MS"").
TRUTH CHECK: The value is factually correct based on the paper text.
COMPLETENESS CHECK: The full set contains the only cell line used for the primary proteomics experiment described.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD001468","","strict","Biological","cell_type","epithelial cell","epithelial cell","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""epithelial cell"" describes a cell lineage, which matches the definition of the cell_type field.
SOURCE CHECK: The MS sample was derived from HEK293 cells (""HEK293 cells were lysed, trypsinized... and analyzed by LC-MS/MS""), and HEK293 is a well-established epithelial cell line.
TRUTH CHECK: HEK293 cells are derived from human embryonic kidney cells and are characterized as epithelial cells.
COMPLETENESS CHECK: The full set contains this single value, which correctly describes the lineage of the primary cell line used for the main proteomics dataset.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD001468","","strict","Biological","disease","adenocarcinoma","","low","False","","False","False","True","False","","hallucinated","TYPE CHECK: The candidate value ""adenocarcinoma"" is a type of disease/diagnosis, which fits the field definition.
SOURCE CHECK: The value is not explicitly mentioned in the text, but it is being inferred from the use of the HEK293 cell line.
TRUTH CHECK: HEK293 (Human Embryonic Kidney) cells are derived from an embryonic kidney, not an adenocarcinoma. While some sources describe them as ""adenocarcinoma-like"" or related to certain transformations, they are not standardly classified as an adenocarcinoma in the same way HeLa (cervical adenocarcinoma) is.
COMPLETENESS CHECK: The full set contains only this value, which is factually incorrect for this cell line.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: healthy","healthy"
"PXD001468","","strict","Biological","organ","kidney","kidney","medium","False","","True","False","False","False","","incomplete","TYPE CHECK: The candidate value ""kidney"" is a valid organ/tissue type.
SOURCE CHECK: The value ""kidney"" does not appear in the paper text; the MS samples described are HEK293 cells and mouse brain.
TRUTH CHECK: The value is factually incorrect; the paper describes a proteome-wide dataset from HEK293 cells (human embryonic kidney) and mouse brain lysate. While HEK293 is derived from the kidney, the standard organ for this cell line is ""kidney"", but the paper also explicitly uses ""brain"" for the other MS experiment. However, the candidate value ""kidney"" is often used for HEK293, but the text specifically mentions ""Mouse brain lysate was proteolyzed and analyzed"".
COMPLETENESS CHECK: The full set [""kidney""] is incomplete as it misses ""brain"".

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: no
HALLUCINATED: no
VERDICT: medium
CORRECTED_VALUE: kidney, brain","kidney, brain"
"PXD001468","","strict","Biological","species","Homo sapiens, Mus musculus","Homo sapiens, Mus musculus","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value consists of organism names, which matches the species field definition.
SOURCE CHECK: Both human (HEK293 cells) and mouse (brain lysate) materials were analyzed by LC-MS/MS as described in the ""Results"" and ""Methods"" sections.
TRUTH CHECK: The paper explicitly mentions ""human cell line"" (HEK293) and ""Mouse brain lysate"" as the sources for the proteomics experiments.
COMPLETENESS CHECK: The full set contains both species used in the study, making it exhaustive.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD001468","","strict","ExperimentalDesign","factor_value","Open search, Closed search","Open search, Closed search","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value describes the experimental search strategies (the variable being tested), which is a correct category for a factor_value.
SOURCE CHECK: The terms ""Open search"" and ""Closed search"" are explicitly used throughout the paper to describe the two primary search conditions compared in the study.
TRUTH CHECK: The values are factually correct as they represent the core experimental contrast of the paper.
COMPLETENESS CHECK: The full set of extracted values includes ""adenocarcinoma"", which is a hallucination (the paper mentions HEK293 cells, but not adenocarcinoma specifically), but the candidate value itself correctly captures the primary experimental factor.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD001468","","strict","ExperimentalDesign","factor_value","adenocarcinoma","Open search, Closed search","low","False","","False","False","True","False","","hallucinated","TYPE CHECK: The candidate value ""adenocarcinoma"" is a disease state, which is a valid category for a factor_value.
SOURCE CHECK: The word ""adenocarcinoma"" does not appear in the paper text. While the paper uses HEK293 cells, and the field definitions state that the disease origin of a cell line (e.g., HeLa -> cervical adenocarcinoma) is inferable domain knowledge, the definition for HEK293 is not provided in the instructions, and the paper itself never mentions adenocarcinoma.
TRUTH CHECK: The value is not explicitly stated or reasonably inferable from the provided text.
COMPLETENESS CHECK: The full set of extracted values is not exhaustive or accurate based on the text.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: yes
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: NONE",""
"PXD001468","","strict","ExperimentalDesign","fractions","24","24","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a numeric count of fractions, which matches the field definition.
SOURCE CHECK: The value is explicitly stated in the ""Basic pH reverse phase fractionation"" section: ""separated the peptide mixture into a total of 96 fractions which were consolidated into 24.""
TRUTH CHECK: The value is factually correct as the final number of fractions analyzed by LC-MS/MS for the HEK293 cell samples.
COMPLETENESS CHECK: The full set contains the single correct value mentioned for the primary experiment.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD001468","","strict","ExperimentalDesign","replicates","1","","medium","False","","False","False","False","False","","wrong_value","TYPE CHECK: The candidate value is a numeric count, which is the correct type for the replicates field.
SOURCE CHECK: The paper describes two main experiments: one using mouse brain lysate and one using HEK293 cells. For the mouse brain, it explicitly states ""analyzed in triplicate"" (3 replicates). For the HEK293 cells, it describes a single proteome-wide dataset separated into 24 fractions, with no mention of biological replicates.
TRUTH CHECK: While the HEK293 experiment has 1 biological replicate, the mouse brain experiment explicitly uses 3. Since the paper describes multiple experimental systems, the extraction should account for the replication mentioned in the text.
COMPLETENESS CHECK: The full set [""1""] is incomplete because it ignores the explicitly stated ""triplicate"" analysis for the mouse brain lysate.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: no
VERDICT: medium
CORRECTED_VALUE: 3","3"
"PXD001468","","strict","ExperimentalDesign","technical_replicates","1","1","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a numeric count, which is the correct type for technical replicates.
SOURCE CHECK: The paper does not explicitly mention technical replicates for the HEK293 or mouse brain experiments.
TRUTH CHECK: Per the ""SAFE DEFAULTS"" rule, ""1"" is correct when the paper is silent regarding replication.
COMPLETENESS CHECK: The full set contains only the default value, which is complete given the lack of information in the text.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
