source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD030403-Sample-1	homo sapiens	thyroid	normal	epithelial cell	Nthy-ORI	not available	1	not available	not available	run 1	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ-Orbitrap	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype/variant (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	7 ppm	8 ppm	orbitrap	qe_2020_0139_7.1.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD030403-Sample-2	homo sapiens	thyroid	normal	epithelial cell	Nthy-ORI	not available	1	not available	not available	run 2	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ-Orbitrap	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype/variant (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	7 ppm	8 ppm	orbitrap	qe_2020_0141_7.3.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD030403-Sample-3	homo sapiens	thyroid	normal	epithelial cell	Nthy-ORI	not available	1	not available	not available	run 3	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ-Orbitrap	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype/variant (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	7 ppm	8 ppm	orbitrap	qe_2020_0142_14.2.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD030403-Sample-4	homo sapiens	thyroid	normal	epithelial cell	Nthy-ORI	not available	1	not available	not available	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ-Orbitrap	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype/variant (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	7 ppm	8 ppm	orbitrap	qe_2020_0144_8.3.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD030403-Sample-5	homo sapiens	thyroid	normal	epithelial cell	Nthy-ORI	not available	1	not available	not available	run 5	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ-Orbitrap	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype/variant (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	7 ppm	8 ppm	orbitrap	qe_2020_0145_8.2.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD030403-Sample-6	homo sapiens	thyroid	normal	epithelial cell	Nthy-ORI	not available	1	not available	not available	run 6	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ-Orbitrap	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype/variant (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	7 ppm	8 ppm	orbitrap	qe_2020_0146_8.1.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD030403-Sample-7	homo sapiens	thyroid	normal	epithelial cell	Nthy-ORI	not available	1	not available	not available	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ-Orbitrap	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype/variant (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	7 ppm	8 ppm	orbitrap	qe_2020_0147_9.3.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD030403-Sample-8	homo sapiens	thyroid	normal	epithelial cell	Nthy-ORI	not available	1	not available	not available	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ-Orbitrap	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype/variant (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	7 ppm	8 ppm	orbitrap	qe_2020_0148_10.3.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD030403-Sample-9	homo sapiens	thyroid	normal	epithelial cell	Nthy-ORI	not available	1	not available	not available	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ-Orbitrap	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype/variant (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	7 ppm	8 ppm	orbitrap	qe_2020_0149_11.3.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD030403-Sample-10	homo sapiens	thyroid	normal	epithelial cell	Nthy-ORI	not available	1	not available	not available	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ-Orbitrap	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype/variant (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	7 ppm	8 ppm	orbitrap	qe_2020_0153_9.1.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD030403-Sample-11	homo sapiens	thyroid	normal	epithelial cell	Nthy-ORI	not available	1	not available	not available	run 11	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ-Orbitrap	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype/variant (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	7 ppm	8 ppm	orbitrap	qe_2020_0154_10.1.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD030403-Sample-12	homo sapiens	thyroid	normal	epithelial cell	Nthy-ORI	not available	1	not available	not available	run 12	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ-Orbitrap	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype/variant (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	7 ppm	8 ppm	orbitrap	qe_2020_0155_11.1.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD030403-Sample-13	homo sapiens	thyroid	normal	epithelial cell	Nthy-ORI	not available	1	not available	not available	run 13	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ-Orbitrap	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype/variant (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	7 ppm	8 ppm	orbitrap	qe_2020_0157_14.3.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD030403-Sample-14	homo sapiens	thyroid	normal	epithelial cell	Nthy-ORI	not available	1	not available	not available	run 14	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ-Orbitrap	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype/variant (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	7 ppm	8 ppm	orbitrap	qe_2020_0158_13.3.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD030403-Sample-15	homo sapiens	thyroid	normal	epithelial cell	Nthy-ORI	not available	1	not available	not available	run 15	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ-Orbitrap	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype/variant (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	7 ppm	8 ppm	orbitrap	qe_2020_0160_13.2.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD030403-Sample-16	homo sapiens	thyroid	normal	epithelial cell	Nthy-ORI	not available	1	not available	not available	run 16	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	LTQ-Orbitrap	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype/variant (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	7 ppm	8 ppm	orbitrap	qe_2020_0162_14.1.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
