sdrf row	source name	logical field	sdrf header	selected value	selected source	evidence	agent status	agent confidence	judge verdict	judge hallucination	judge type mismatch	judge corrected value	resolution rule	assessment state
1	PXD030403-Sample-1	source_name	source name	PXD030403-Sample-1	derived								legacy_derivation	derived
1	PXD030403-Sample-1	organism	characteristics[organism]	Homo sapiens	biological_agent	We used an integrated genomics approach to profile and characterize the cistrome of TRβ, map changes in chromatin accessibility, and capture the transcriptomic changes in response to T3 in normal human thyroid cells.	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
1	PXD030403-Sample-1	organism_part	characteristics[organism part]	thyroid	biological_agent	We used an integrated genomics approach to profile and characterize the cistrome of TRβ, map changes in chromatin accessibility, and capture the transcriptomic changes in response to T3 in normal human thyroid cells.	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
1	PXD030403-Sample-1	disease	characteristics[disease]	normal	biological_agent	We used an integrated genomics approach to profile and characterize the cistrome of TRβ, map changes in chromatin accessibility, and capture the transcriptomic changes in response to T3 in normal human thyroid cells.	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
1	PXD030403-Sample-1	cell_type	characteristics[cell type]	epithelial cell	biological_agent	We profiled the genomic binding patterns of TRβ in the human normal thyroid epithelial cell line Nthy-ORI using CUT&RUN.	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
1	PXD030403-Sample-1	cell_line	characteristics[cell line]	Nthy-ORI	biological_agent	Nthy-ORI cells were transfected with vectors that express a TRβ-miniTurboID fusion construct that can rapidly biotinylate proximal proteins, which were isolated via biotin-affinity purification and subsequently identified by mass spectrometry	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
1	PXD030403-Sample-1	biological_replicate	characteristics[biological replicate]	1	derived								fallback	not_assessed
1	PXD030403-Sample-1	assay_name	assay name	run 1	derived								legacy_derivation	derived
1	PXD030403-Sample-1	technology_type	technology type	proteomic profiling by mass spectrometry	derived								legacy_derivation	derived
1	PXD030403-Sample-1	acquisition	comment[proteomics data acquisition method]	NT=data-dependent acquisition;AC=PRIDE:0000627	runassessor								source_precedence:runassessor	derived
1	PXD030403-Sample-1	label	comment[label]	label free sample	technical_agent				high	False	False		source_precedence:technical_agent	derived
1	PXD030403-Sample-1	instrument	comment[instrument]	NT=Q Exactive Plus;AC=MS:1002634	runassessor								source_precedence:runassessor	derived
1	PXD030403-Sample-1	fraction_identifier	comment[fraction identifier]	1	derived								fallback	not_assessed
1	PXD030403-Sample-1	technical_replicate	comment[technical replicate]	1	derived								fallback	not_assessed
1	PXD030403-Sample-1	dissociation	comment[dissociation method]	NT=beam-type collision-induced dissociation;AC=MS:1000422	runassessor								source_precedence:runassessor	derived
1	PXD030403-Sample-1	factor_value	factor value[experimental design]	genotype (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	experimental_design_agent	compared the interaction profiles of a ligand-binding domain mutant (TRβPV) and a DNA-binding domain mutant (TRβGS125) with that of wildtype TRβ... treated with 10 nM T3 or vehicle for 15 min	LLM_ONLY	0.5	high	False	False		source_precedence:experimental_design_agent	derived
1	PXD030403-Sample-1	precursor_tolerance	comment[precursor mass tolerance]	7 ppm	derived								legacy_derivation	derived
1	PXD030403-Sample-1	fragment_tolerance	comment[fragment mass tolerance]	8 ppm	derived								legacy_derivation	derived
1	PXD030403-Sample-1	ms2_analyzer	comment[ms2 mass analyzer]	orbitrap	derived								legacy_derivation	derived
1	PXD030403-Sample-1	data_file	comment[data file]	qe_2020_0139_7.1.raw	derived								legacy_derivation	derived
1	PXD030403-Sample-1	sdrf_version	comment[sdrf version]	v1.1.0	derived								legacy_derivation	derived
1	PXD030403-Sample-1	annotation_tool	comment[sdrf annotation tool]	HAMLET-agentic v0.1.0	derived								legacy_derivation	derived
1	PXD030403-Sample-1	factor_disease	factor value[disease]	normal	derived								legacy_derivation	derived
2	PXD030403-Sample-2	source_name	source name	PXD030403-Sample-2	derived								legacy_derivation	derived
2	PXD030403-Sample-2	organism	characteristics[organism]	Homo sapiens	biological_agent	We used an integrated genomics approach to profile and characterize the cistrome of TRβ, map changes in chromatin accessibility, and capture the transcriptomic changes in response to T3 in normal human thyroid cells.	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
