field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	196	77	0	0.0	0.0	0.0
characteristics[disease]	Biological	196	196	0	0.0	0.0	0.0
characteristics[organism part]	Biological	196	182	182	0.9285714285714286	0.9285714285714286	0.9285714285714286
characteristics[organism]	Biological	196	196	196	1.0	1.0	1.0
characteristics[sex]	Biological	0	77	0	0.0	0.0	0.0
characteristics[biological replicate]	ExperimentalDesign	196	0	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	196	105	7	0.03571428571428571	0.03571428571428571	0.03571428571428571
comment[technical replicate]	ExperimentalDesign	196	182	182	0.9285714285714286	0.9285714285714286	0.9285714285714286
factor value[disease]	ExperimentalDesign	196	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	196	0	0	0.0	0.0	0.0
comment[alkylation reagent]	Technical	196	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	196	196	196	1.0	1.0	1.0
comment[dissociation method]	Technical	196	196	196	1.0	1.0	1.0
comment[fragment mass tolerance]	Technical	196	0	0	0.0	0.0	0.0
comment[instrument]	Technical	196	196	196	1.0	1.0	1.0
comment[label]	Technical	196	196	196	1.0	1.0	1.0
comment[modification parameters]	Technical	392	588	392	1.0	0.666667	0.8
comment[ms2 mass analyzer]	Technical	196	196	196	1.0	1.0	1.0
comment[precursor mass tolerance]	Technical	196	0	0	0.0	0.0	0.0
comment[proteomics data acquisition method]	Technical	196	0	0	0.0	0.0	0.0
comment[reduction reagent]	Technical	196	0	0	0.0	0.0	0.0
technology type	Technical	196	0	0	0.0	0.0	0.0
