Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[ancestry category]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[disease]	Characteristics[phenotype]	Characteristics[individual]	Characteristics[enrichment process]	assay name	comment[label]	comment[data file]	comment[file uri]	comment[fractionation method]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	factor value[phenotype]	factor value[enrichment process]	sampleChecksum	sampleAccession
PXD008012-Sample 1	Homo sapiens	breast	50Y	HCC38	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	run 1	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C1.raw	not available	1	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	cell line	indolent	enrichment of phosphorylated Protein	15bcc930cef29feb8d4d40375ee5953b7f2e01bf39a9f11cf0499d2e58c3dfbd	SAMEA7715768
PXD008012-Sample 1	Homo sapiens	breast	50Y	HCC38	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	run 2	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C1_rr.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C1_rr.raw	not available	2	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	cell line	indolent	enrichment of phosphorylated Protein	15bcc930cef29feb8d4d40375ee5953b7f2e01bf39a9f11cf0499d2e58c3dfbd	SAMEA7715768
PXD008012-Sample 2	Homo sapiens	breast	50Y	HCC38	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	run 3	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C1b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C1b.raw	not available	1	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	cell line	indolent	enrichment of phosphorylated Protein	ca1ae2dce5816cc772fcb19a3751cbb42378c450bc4aae4c4bddcda633e7ffa9	SAMEA7715769
PXD008012-Sample 2	Homo sapiens	breast	50Y	HCC38	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	run 4	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C1b_rr.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C1b_rr.raw	not available	2	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	cell line	indolent	enrichment of phosphorylated Protein	ca1ae2dce5816cc772fcb19a3751cbb42378c450bc4aae4c4bddcda633e7ffa9	SAMEA7715769
PXD008012-Sample 3	Homo sapiens	breast	51Y	MDA-MB-231	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	run 5	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C3.raw	not available	1	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	cell line	indolent	enrichment of phosphorylated Protein	01efba8d3da72dd36dc838b17f68072e6de7b342247bd89a3ea6d0e07bc0738c	SAMEA7715770
PXD008012-Sample 3	Homo sapiens	breast	51Y	MDA-MB-231	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	run 6	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C3_rr.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C3_rr.raw	not available	2	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	cell line	indolent	enrichment of phosphorylated Protein	01efba8d3da72dd36dc838b17f68072e6de7b342247bd89a3ea6d0e07bc0738c	SAMEA7715770
PXD008012-Sample 4	Homo sapiens	breast	51Y	MDA-MB-231	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	run 7	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C3b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C3b.raw	not available	1	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	cell line	indolent	enrichment of phosphorylated Protein	f8ef37e8ff0ced15ad9105452a268251449ce0315e6cb125c88393d61643c7fd	SAMEA7715771
PXD008012-Sample 4	Homo sapiens	breast	51Y	MDA-MB-231	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	run 8	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C3b_rr.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C3b_rr.raw	not available	2	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	cell line	indolent	enrichment of phosphorylated Protein	f8ef37e8ff0ced15ad9105452a268251449ce0315e6cb125c88393d61643c7fd	SAMEA7715771
PXD008012-Sample 5	Homo sapiens	breast	51Y	MDA-MB-231	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	run 9	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C3c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C3c.raw	not available	1	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	cell line	indolent	enrichment of phosphorylated Protein	32b5499177acbe6b0439f37a9479cfebae18a681a89e7723dfe39e6d7e63a2cf	SAMEA7715772
PXD008012-Sample 5	Homo sapiens	breast	51Y	MDA-MB-231	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	run 10	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C3c_rr.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C3c_rr.raw	not available	2	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	cell line	indolent	enrichment of phosphorylated Protein	32b5499177acbe6b0439f37a9479cfebae18a681a89e7723dfe39e6d7e63a2cf	SAMEA7715772
