field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	0	0			
characteristics[disease]	Biological	16	16	8	0.5	0.5	0.5
characteristics[organism part]	Biological	16	16	0	0.0	0.0	0.0
characteristics[organism]	Biological	16	16	16	1.0	1.0	1.0
characteristics[sex]	Biological	0	16	0	0.0	0.0	0.0
characteristics[biological replicate]	ExperimentalDesign	16	0	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	16	16	0	0.0	0.0	0.0
comment[technical replicate]	ExperimentalDesign	16	16	8	0.5	0.5	0.5
factor value[disease]	ExperimentalDesign	16	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	16	0	0	0.0	0.0	0.0
comment[alkylation reagent]	Technical	16	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	16	16	16	1.0	1.0	1.0
comment[dissociation method]	Technical	16	0	0	0.0	0.0	0.0
comment[fragment mass tolerance]	Technical	16	16	16	1.0	1.0	1.0
comment[instrument]	Technical	16	16	16	1.0	1.0	1.0
comment[label]	Technical	16	16	16	1.0	1.0	1.0
comment[modification parameters]	Technical	48	32	32	0.666667	1.0	0.8
comment[ms2 mass analyzer]	Technical	16	0	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	16	16	16	1.0	1.0	1.0
comment[proteomics data acquisition method]	Technical	0	0	0			
comment[reduction reagent]	Technical	16	0	0	0.0	0.0	0.0
technology type	Technical	16	0	0	0.0	0.0	0.0
