source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD002619-Sample-1	homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	1	not available	not available	run 1	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	8 ppm	9 ppm	orbitrap	20110610_Q2_TaGe_SA_SSM1_2.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD002619-Sample-2	homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	1	not available	not available	run 2	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	8 ppm	9 ppm	orbitrap	20110610_Q2_TaGe_SA_SSM1_3.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD002619-Sample-3	homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	1	not available	not available	run 3	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	8 ppm	9 ppm	orbitrap	20110612_EXQ1_TaGe_SA_BC7_2.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD002619-Sample-4	homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	1	not available	not available	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	8 ppm	9 ppm	orbitrap	20110612_Q2_TaGe_SA_BC13_2.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD002619-Sample-5	homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	1	not available	not available	run 5	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	8 ppm	9 ppm	orbitrap	20110612_Q2_TaGe_SA_BC1_5.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD002619-Sample-6	homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	1	not available	not available	run 6	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	8 ppm	9 ppm	orbitrap	20110616_EXQ1_TaGe_SA_BC10_3.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD002619-Sample-7	homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	1	not available	not available	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	8 ppm	9 ppm	orbitrap	20110616_EXQ1_TaGe_SA_BC12_3.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD002619-Sample-8	homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	1	not available	not available	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	8 ppm	9 ppm	orbitrap	20110616_EXQ1_TaGe_SA_BC17_4.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD002619-Sample-9	homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	1	not available	not available	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	8 ppm	9 ppm	orbitrap	20110616_EXQ1_TaGe_SA_BC18_2.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD002619-Sample-10	homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	1	not available	not available	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	8 ppm	9 ppm	orbitrap	20110616_EXQ1_TaGe_SA_BC25_5.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
