sdrf row	source name	logical field	sdrf header	selected value	selected source	evidence	agent status	agent confidence	judge verdict	judge hallucination	judge type mismatch	judge corrected value	resolution rule	assessment state	source records
1	PXD036634-Sample-1	source_name	source name	PXD036634-Sample-1	derived								legacy_derivation	derived	[]
1	PXD036634-Sample-1	organism	characteristics[organism]	Homo sapiens	biological_agent	Simultaneous measurement of telomere length and transcriptome in the same human embryonic stem cell (hESC) revealed that mRNA expression levels of UBQLN1 exhibit linear relationship with telomere length.	DISAGREE_TOOL_OUTVOTED	0.85	high	False	False		source_precedence:biological_agent	derived	"[{""cv_accession"": null, ""cv_name"": ""Mus musculus"", ""metadata"": {""source_field"": ""species""}, ""scope"": ""sample"", ""source"": ""biological_agent"", ""value"": ""Homo sapiens""}]"
1	PXD036634-Sample-1	disease	characteristics[disease]	ubqln1-deficient, normal	biological_agent	In this study, we first generated UBQLN1-deficient hESCs and compared with the wild-type (WT) hESCs the telomere length and molecular change at RNA and protein level by RNA-seq and proteomics.	LLM_ONLY	0.5	medium	False	False	UBQLN1-deficient, normal	source_precedence:biological_agent	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {""source_field"": ""disease_state""}, ""scope"": ""sample"", ""source"": ""biological_agent"", ""value"": ""UBQLN1-deficient""}]"
1	PXD036634-Sample-1	cell_type	characteristics[cell type]	embryonic stem cell	biological_agent	UBQLN1 links proteostasis and mitochondria function to telomere maintenance in human embryonic stem cells	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {""source_field"": ""cell_type""}, ""scope"": ""sample"", ""source"": ""biological_agent"", ""value"": ""embryonic stem cell""}]"
1	PXD036634-Sample-1	cell_line	characteristics[cell line]	WA26	biological_agent	WA26 (obtained from WiCell Research Institute) hESCs were routinely maintained in the undifferentiated state in E8 medium	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {""source_field"": ""cell_line""}, ""scope"": ""sample"", ""source"": ""biological_agent"", ""value"": ""WA26""}]"
1	PXD036634-Sample-1	assay_name	assay name	run 1	derived								legacy_derivation	derived	[]
1	PXD036634-Sample-1	technology_type	technology type	proteomic profiling by mass spectrometry	derived								legacy_derivation	derived	[]
1	PXD036634-Sample-1	acquisition	comment[proteomics data acquisition method]	NT=data-dependent acquisition;AC=PRIDE:0000627	runassessor								source_precedence:runassessor	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {""source_path"": ""runAssessor.files.PXD036634/LD028GI_Flag.mzML.spectra_stats.acquisition_type""}, ""scope"": ""assay"", ""source"": ""runassessor"", ""value"": ""DDA""}]"
1	PXD036634-Sample-1	label	comment[label]	label free sample	technical_agent				high	False	False		source_precedence:technical_agent	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {}, ""scope"": ""study"", ""source"": ""technical_agent"", ""value"": ""label-free""}]"
1	PXD036634-Sample-1	instrument	comment[instrument]	NT=Q Exactive Plus;AC=MS:1002634	runassessor				high	False	False		source_precedence:runassessor	derived	"[{""cv_accession"": ""MS:1002634"", ""cv_name"": ""Q Exactive Plus"", ""metadata"": {""source_path"": ""runAssessor.files.PXD036634/LD028GI_Flag.mzML.instrument_model.name""}, ""scope"": ""assay"", ""source"": ""runassessor"", ""value"": ""Q Exactive Plus""}, {""cv_accession"": null, ""cv_name"": null, ""metadata"": {}, ""scope"": ""study"", ""source"": ""technical_agent"", ""value"": ""Q Exactive Plus""}]"
