field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	0	0			
characteristics[cell line]	Biological	101	93	0	0.0	0.0	0.0
characteristics[cell type]	Biological	101	0	0	0.0	0.0	0.0
characteristics[cellosaurus accession]	Biological	0	0	0			
characteristics[disease]	Biological	101	8	0	0.0	0.0	0.0
characteristics[organism part]	Biological	101	8	0	0.0	0.0	0.0
characteristics[organism]	Biological	101	101	101	1.0	1.0	1.0
characteristics[sex]	Biological	0	0	0			
characteristics[biological replicate]	ExperimentalDesign	101	90	30	0.297029702970297	0.297029702970297	0.297029702970297
comment[fraction identifier]	ExperimentalDesign	101	0	0	0.0	0.0	0.0
comment[technical replicate]	ExperimentalDesign	101	0	0	0.0	0.0	0.0
factor value[disease]	ExperimentalDesign	101	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	101	0	0	0.0	0.0	0.0
comment[alkylation reagent]	Technical	101	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	101	202	101	1.0	0.5	0.666667
comment[dissociation method]	Technical	101	0	0	0.0	0.0	0.0
comment[fragment mass tolerance]	Technical	101	0	0	0.0	0.0	0.0
comment[instrument]	Technical	101	101	0	0.0	0.0	0.0
comment[label]	Technical	101	101	101	1.0	1.0	1.0
comment[modification parameters]	Technical	303	303	202	0.666667	0.666667	0.666667
comment[ms2 mass analyzer]	Technical	101	0	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	101	0	0	0.0	0.0	0.0
comment[proteomics data acquisition method]	Technical	101	0	0	0.0	0.0	0.0
comment[reduction reagent]	Technical	101	0	0	0.0	0.0	0.0
technology type	Technical	101	0	0	0.0	0.0	0.0
