"paper_id","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD053353","BiologicalAgent","species","species","Homo sapiens","True"
"PXD053353","BiologicalAgent","tissue","organ","kidney","True"
"PXD053353","BiologicalAgent","cell_type","cell_type","","False"
"PXD053353","BiologicalAgent","disease_state","disease","normal","True"
"PXD053353","BiologicalAgent","sample_source","material_type","cell line","True"
"PXD053353","BiologicalAgent","age","age","","False"
"PXD053353","BiologicalAgent","anatomic_site_tumor","anatomic_site_tumor","","False"
"PXD053353","BiologicalAgent","BMI","BMI","","False"
"PXD053353","BiologicalAgent","cell_line","cell_line","HEK293T","True"
"PXD053353","BiologicalAgent","sex","sex","","False"
"PXD053353","BiologicalAgent","strain","strain","","False"
"PXD053353","BiologicalAgent","material_type","material_type","cell line","True"
"PXD053353","BiologicalAgent","developmental_stage","developmental_stage","","False"
"PXD053353","TechnicalAgent","acquisition_method","acquisition_method","","False"
"PXD053353","TechnicalAgent","alkylation_reagent","alkylation_reagent","","False"
"PXD053353","TechnicalAgent","alkylation_concentration","alkylation_concentration","","False"
"PXD053353","TechnicalAgent","cleavage_agent","cleavage_agent","","False"
"PXD053353","TechnicalAgent","collision_energy","collision_energy","","False"
"PXD053353","TechnicalAgent","enrichment_method","enrichment_method","anti-Flag M2 Affinity Gel","True"
"PXD053353","TechnicalAgent","fractionation_method","fractionation","","False"
"PXD053353","TechnicalAgent","fragmentation_method","fragmentation","","False"
"PXD053353","TechnicalAgent","instrument","instrument","Q Exactive Plus","True"
"PXD053353","TechnicalAgent","ionization_type","ionization_type","","False"
"PXD053353","TechnicalAgent","labeling","label","label-free","True"
"PXD053353","TechnicalAgent","reduction_reagent","reduction_reagent","","False"
"PXD053353","TechnicalAgent","reduction_concentration","reduction_concentration","","False"
"PXD053353","ExperimentalDesignAgent","biological_replicate","replicates","2","True"
"PXD053353","ExperimentalDesignAgent","technical_replicate","technical_replicates","","False"
"PXD053353","ExperimentalDesignAgent","experimental_design","experimental_design","US2 expression vs control comparison","True"
"PXD053353","ExperimentalDesignAgent","factor_value","factor_value","treatment (Myc-US2, control)","True"
"PXD053353","ExperimentalDesignAgent","number_of_fractions","fractions","1","True"
"PXD053353","ExperimentalDesignAgent","number_of_technical_replicates","technical_replicates","","False"
"PXD053353","ExperimentalDesignAgent","number_of_biological_replicates","replicates","2","True"
"PXD053353","ExperimentalDesignAgent","number_of_samples","number_of_samples","2","True"
