field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	0	0			
characteristics[cell type]	Biological	27	0	0	0.0	0.0	0.0
characteristics[disease]	Biological	0	0	0			
characteristics[organism part]	Biological	27	0	0	0.0	0.0	0.0
characteristics[organism]	Biological	27	27	27	1.0	1.0	1.0
characteristics[sex]	Biological	0	0	0			
characteristics[biological replicate]	ExperimentalDesign	27	0	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	27	27	27	1.0	1.0	1.0
comment[technical replicate]	ExperimentalDesign	27	27	9	0.3333333333333333	0.3333333333333333	0.3333333333333333
factor value[disease]	ExperimentalDesign	0	0	0			
factor value[experimental design]	ExperimentalDesign	27	0	0	0.0	0.0	0.0
comment[alkylation reagent]	Technical	27	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	27	27	27	1.0	1.0	1.0
comment[dissociation method]	Technical	24	0	0	0.0	0.0	0.0
comment[fragment mass tolerance]	Technical	27	27	0	0.0	0.0	0.0
comment[instrument]	Technical	27	27	27	1.0	1.0	1.0
comment[label]	Technical	27	27	27	1.0	1.0	1.0
comment[modification parameters]	Technical	54	81	54	1.0	0.6666669999999999	0.8
comment[ms2 mass analyzer]	Technical	27	0	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	27	27	0	0.0	0.0	0.0
comment[proteomics data acquisition method]	Technical	27	0	0	0.0	0.0	0.0
comment[reduction reagent]	Technical	27	0	0	0.0	0.0	0.0
technology type	Technical	27	0	0	0.0	0.0	0.0
