group,n_mods_in_group,n_pxds_observed,n_pxds_unique,weighted_mean_fraction,total_peptides_with_mod
Cys alkylation,16,1439,1323,0.06393911676123963,28092876
Oxidation,9,604,547,0.041646967084639504,11329509
Deamidation,1,482,482,0.11006539218241045,6544611
Acetylation/amidation,4,199,189,0.04820919322033898,1381036
TMT/isobaric labels,12,223,184,0.3620547216494845,11748963
Amino acid substitutions,8,153,151,0.14592151844262294,1229020
Carbamylation,1,108,108,0.05711594101123595,2003911
Ubiquitination (GlyGly),2,85,84,0.08274439560439562,1045704
Phosphorylation,2,85,70,0.06546471636363636,1711193
Other isotope labels,10,60,59,0.09060115841584158,961274
Methylation,6,67,58,0.0857562334801762,1527079
Metal adducts,8,49,46,0.06068144055944056,539072
Crosslinkers/affinity,16,44,42,0.168460275,360920
Dehydration/Pyro-Glu,3,37,37,0.007999794642857144,66643
SILAC labels,9,26,23,0.24236659210526318,398115
Lipid adducts,10,19,19,0.18736018032786883,213986
Organophosphorus adducts,7,7,7,0.06419531578947368,28564
Nitrosylation/sulfonation,4,6,6,0.15055807692307693,64357
Glycosylation,4,5,5,0.07872154545454545,17147
Miscellaneous rare,98,535,454,0.15474984593837537,6055465
