mod_key,mod_name,unimod_id,mass_shift,group,n_pxds_observed,n_sample_obs,mean_fraction_modified,median_fraction_modified,total_peptides_with_mod,total_modified_sites
unimod:4,Iodoacetamide derivative,4,57.021465,Cys alkylation,1323,4235,0.058427183943329394,0.053772,27326067,38120945
unimod:35,Oxidation or Hydroxylation,35,15.994915,Oxidation,507,1610,0.030567987577639753,0.02773,10514063,11921473
unimod:7,Deamidation,7,0.984016,Deamidation,482,1535,0.11006539218241045,0.099713,6544611,7319605
unimod:737,Sixplex Tandem Mass Tag®,737,229.16293,TMT/isobaric labels,117,363,0.4637819779614325,0.503089,8825411,18400031
unimod:5,Carbamylation,5,43.005814,Carbamylation,108,356,0.05711594101123595,0.052358,2003911,2339470
unimod:1187,Gln->Trp substitution,1187,58.02929,Amino acid substitutions,91,313,0.09162879872204473,0.087214,705162,714443
unimod:2,Amidation,2,-0.984016,Acetylation/amidation,90,299,0.0024869230769230767,0.001849,14328,14328
unimod:121,ubiquitinylation residue,121,114.04293,Ubiquitination (GlyGly),84,270,0.0814849888888889,0.06838,1042983,1232357
unimod:352,Lysine oxidation to aminoadipic semialdehyde,352,-1.031634,Miscellaneous rare,83,288,0.20123487847222224,0.178015,911442,1214158
unimod:1042,Acetyldeoxyhypusine,1042,113.08406,Miscellaneous rare,83,271,0.2478310184501845,0.215192,521293,777484
unimod:21,Phosphorylation,21,79.96633,Phosphorylation,67,219,0.06103775342465753,0.055075,1478065,1695380
unimod:1287,Loss of arginine due to transpeptidation,1287,-156.1011,Miscellaneous rare,64,198,0.0037469898989898995,0.002559,9578,9578
unimod:122,Formylation,122,27.994915,Acetylation/amidation,62,154,0.09043079220779222,0.08924299999999999,967351,1099139
unimod:401,2-amino-3-oxo-butanoic_acid,401,-2.01565,Miscellaneous rare,61,199,0.06717068341708543,0.065692,1355774,1403625
unimod:425,dihydroxy,425,31.989828,Oxidation,44,132,0.040027795454545455,0.037162,510696,590979
unimod:730,"Representative mass and accurate mass for 113, 114, 116 & 117",730,304.20535,TMT/isobaric labels,39,113,0.29510785840707965,0.288302,1365744,2699397
unimod:24,Acrylamide adduct,24,71.03712,Cys alkylation,34,107,0.11912787850467291,0.104569,262280,332637
unimod:34,Methylation,34,14.01565,Methylation,34,120,0.04181433333333333,0.037875,741620,866413
unimod:1922,Proline oxidation to 5-hydroxy-2-aminovaleric acid,1922,18.010565,Oxidation,31,95,0.12471437894736843,0.114395,208878,214262
unimod:1159,Asn->Gly substitution,1159,-57.02146,Amino acid substitutions,30,85,0.26079911764705876,0.25203,250798,259886
unimod:6,Iodoacetic acid derivative,6,58.005478,Cys alkylation,26,80,0.09572193749999999,0.0821755,158994,188703
unimod:254,Acetaldehyde +26,254,26.01565,Acetylation/amidation,25,78,0.1313328076923077,0.110424,155419,210101
unimod:1181,Gln->Gly substitution,1181,-71.03711,Amino acid substitutions,25,73,0.22958315068493151,0.207834,204787,210080
unimod:313,Loss of Lysine,313,-128.09496,Miscellaneous rare,24,91,0.45524716483516486,0.419141,708767,875524
unimod:30,Sodium adduct,30,21.981943,Metal adducts,23,73,0.06298965753424658,0.059444,278568,293408
unimod:1,Acetylation,1,42.010567,Acetylation/amidation,22,59,0.059822593220339,0.056161,243938,279917
unimod:298,deuterated methyl ester,298,17.03448,Other isotope labels,20,64,0.059047765625,0.051074,283696,331945
unimod:447,reduction,447,-15.994915,Miscellaneous rare,20,74,0.10533643243243243,0.09384100000000001,850751,883386
unimod:1827,Pyro-Glu from E + Methylation Medium,1827,-0.979006,Dehydration/Pyro-Glu,18,54,0.0023009074074074078,0.0021885000000000003,4423,4423
unimod:898,pyrophosphorylation of Ser/Thr,898,159.93266,Phosphorylation,18,56,0.08277730357142857,0.0812145,233128,254383
unimod:2016,TMTpro 16plex Tandem Mass Tag,2016,304.207,TMT/isobaric labels,15,33,0.4205451212121212,0.425432,744495,1383133
unimod:28,Pyro-glu from Q,28,-17.026548,Dehydration/Pyro-Glu,15,48,0.005272916666666666,0.003065,5370,5370
unimod:17,N-isopropylcarboxamidomethyl,17,99.06841,TMT/isobaric labels,15,50,0.21259484,0.192297,54466,54871
unimod:1301,Addition of lysine due to transpeptidation,1301,128.09496,Miscellaneous rare,15,35,0.0026919428571428572,0.001928,1165,1165
unimod:36,di-Methylation,36,28.0313,Methylation,15,55,0.1505569090909091,0.154683,533355,756301
unimod:1009,formaldehyde adduct,1009,12.0,Miscellaneous rare,14,50,0.09242355999999999,0.0900495,380497,445320
unimod:1302,mTRAQ heavy,1302,148.10916,TMT/isobaric labels,14,45,0.0848269777777778,0.074332,265743,297791
unimod:1870,Replacement of 3 protons by iron,1870,52.911465,Metal adducts,12,27,0.046197888888888886,0.045541,86338,90367
unimod:127,fluorination,127,17.990578,Miscellaneous rare,10,28,0.111774,0.108545,122039,130470
unimod:59,"Propionate labeling reagent heavy form (+3amu), N-term & K",59,59.036278,Other isotope labels,9,38,0.06369021052631578,0.054956500000000005,130573,158263
unimod:320,Nethylmaleimidehydrolysis,320,143.05824,Cys alkylation,8,17,0.1643461176470588,0.147641,34832,43542
unimod:199,DiMethyl-CHD2,199,32.056408,Other isotope labels,8,31,0.15557848387096773,0.158475,365640,554606
unimod:327,S-Ethylcystine from Serine,327,44.008457,Cys alkylation,8,27,0.08072233333333333,0.075293,55027,56088
unimod:378,carboxyethyl,378,72.021126,Miscellaneous rare,7,22,0.16464827272727273,0.143698,29282,36485
unimod:1014,glycidamide adduct,1014,87.03203,Miscellaneous rare,7,14,0.1062152857142857,0.086428,33332,44209
unimod:360,Proline oxidation to pyrrolidinone,360,-30.010565,Oxidation,7,22,0.2053811363636364,0.219076,15562,15909
unimod:39,Beta-methylthiolation,39,45.98772,Miscellaneous rare,7,20,0.07991445,0.0869505,95573,112659
unimod:214,Representative mass and accurate mass for 116 & 117,214,144.10207,TMT/isobaric labels,7,24,0.43263762499999997,0.5383135,208938,507091
unimod:108,N-ethylmaleimide on cysteines,108,125.047676,Cys alkylation,6,21,0.28123742857142864,0.221071,36980,37122
unimod:893,Carbamidomethylated DTT modification of cysteine,893,209.01804,Cys alkylation,6,17,0.1320755882352941,0.133838,28457,28806
