field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	111	0	0	0.0	0.0	0.0
characteristics[cell type]	Biological	111	0	0	0.0	0.0	0.0
characteristics[disease]	Biological	111	69	1	0.009009009009009009	0.009009009009009009	0.009009009009009009
characteristics[organism part]	Biological	111	94	0	0.0	0.0	0.0
characteristics[organism]	Biological	111	111	111	1.0	1.0	1.0
characteristics[sex]	Biological	0	111	0	0.0	0.0	0.0
characteristics[biological replicate]	ExperimentalDesign	111	0	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	111	111	111	1.0	1.0	1.0
comment[technical replicate]	ExperimentalDesign	111	0	0	0.0	0.0	0.0
factor value[disease]	ExperimentalDesign	111	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	111	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	111	111	111	1.0	1.0	1.0
comment[dissociation method]	Technical	111	111	111	1.0	1.0	1.0
comment[fragment mass tolerance]	Technical	111	111	111	1.0	1.0	1.0
comment[instrument]	Technical	111	111	111	1.0	1.0	1.0
comment[label]	Technical	111	111	111	1.0	1.0	1.0
comment[modification parameters]	Technical	222	222	222	1.0	1.0	1.0
comment[ms2 mass analyzer]	Technical	111	0	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	111	111	111	1.0	1.0	1.0
comment[proteomics data acquisition method]	Technical	111	111	111	1.0	1.0	1.0
technology type	Technical	111	0	0	0.0	0.0	0.0
