source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD013234-Sample-1	homo sapiens	serum	polycythemia vera, healthy	extracellular vesicles	18	not available	not available	run 1	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF-X	not available	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (polycythemia vera, healthy controls)	7 ppm	8 ppm	orbitrap	20180411_QX8_JRW_SA_CT_GG193.raw	v1.1.0	HAMLET-agentic v0.1.0	polycythemia vera, healthy
PXD013234-Sample-2	homo sapiens	serum	polycythemia vera, healthy	extracellular vesicles	18	not available	not available	run 2	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF-X	not available	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (polycythemia vera, healthy controls)	7 ppm	8 ppm	orbitrap	20180411_QX8_JRW_SA_CT_GG194.raw	v1.1.0	HAMLET-agentic v0.1.0	polycythemia vera, healthy
PXD013234-Sample-3	homo sapiens	serum	polycythemia vera, healthy	extracellular vesicles	18	not available	not available	run 3	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF-X	not available	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (polycythemia vera, healthy controls)	7 ppm	8 ppm	orbitrap	20180411_QX8_JRW_SA_CT_GG198.raw	v1.1.0	HAMLET-agentic v0.1.0	polycythemia vera, healthy
PXD013234-Sample-4	homo sapiens	serum	polycythemia vera, healthy	extracellular vesicles	18	not available	not available	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF-X	not available	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (polycythemia vera, healthy controls)	7 ppm	8 ppm	orbitrap	20180411_QX8_JRW_SA_CT_GG207.raw	v1.1.0	HAMLET-agentic v0.1.0	polycythemia vera, healthy
PXD013234-Sample-5	homo sapiens	serum	polycythemia vera, healthy	extracellular vesicles	18	not available	not available	run 5	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF-X	not available	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (polycythemia vera, healthy controls)	7 ppm	8 ppm	orbitrap	20180411_QX8_JRW_SA_CT_GG209.raw	v1.1.0	HAMLET-agentic v0.1.0	polycythemia vera, healthy
PXD013234-Sample-6	homo sapiens	serum	polycythemia vera, healthy	extracellular vesicles	18	not available	not available	run 6	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF-X	not available	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (polycythemia vera, healthy controls)	7 ppm	8 ppm	orbitrap	20180411_QX8_JRW_SA_CT_GG214.raw	v1.1.0	HAMLET-agentic v0.1.0	polycythemia vera, healthy
PXD013234-Sample-7	homo sapiens	serum	polycythemia vera, healthy	extracellular vesicles	18	not available	not available	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF-X	not available	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (polycythemia vera, healthy controls)	7 ppm	8 ppm	orbitrap	20180411_QX8_JRW_SA_CT_GG218.raw	v1.1.0	HAMLET-agentic v0.1.0	polycythemia vera, healthy
PXD013234-Sample-8	homo sapiens	serum	polycythemia vera, healthy	extracellular vesicles	18	not available	not available	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF-X	not available	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (polycythemia vera, healthy controls)	7 ppm	8 ppm	orbitrap	20180411_QX8_JRW_SA_CT_GG219.raw	v1.1.0	HAMLET-agentic v0.1.0	polycythemia vera, healthy
PXD013234-Sample-9	homo sapiens	serum	polycythemia vera, healthy	extracellular vesicles	18	not available	not available	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF-X	not available	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (polycythemia vera, healthy controls)	7 ppm	8 ppm	orbitrap	20180411_QX8_JRW_SA_CT_GG220.raw	v1.1.0	HAMLET-agentic v0.1.0	polycythemia vera, healthy
PXD013234-Sample-10	homo sapiens	serum	polycythemia vera, healthy	extracellular vesicles	18	not available	not available	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF-X	not available	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (polycythemia vera, healthy controls)	7 ppm	8 ppm	orbitrap	20180411_QX8_JRW_SA_CT_GG222.raw	v1.1.0	HAMLET-agentic v0.1.0	polycythemia vera, healthy
