source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD005780-Sample-1	Homo sapiens	stool	normal	not available	not available	39 years (range 22–48)	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (healthy)	not available	7.6 ppm	10 ppm	orbitrap	S13.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005780-Sample-2	Homo sapiens	stool	normal	not available	not available	39 years (range 22–48)	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (healthy)	not available	7.6 ppm	10 ppm	orbitrap	S20.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005780-Sample-3	Homo sapiens	stool	normal	not available	not available	39 years (range 22–48)	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (healthy)	not available	7.6 ppm	10 ppm	orbitrap	S23.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005780-Sample-4	Homo sapiens	stool	normal	not available	not available	39 years (range 22–48)	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (healthy)	not available	7.6 ppm	10 ppm	orbitrap	S25.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005780-Sample-5	Homo sapiens	stool	normal	not available	not available	39 years (range 22–48)	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (healthy)	not available	7.6 ppm	10 ppm	orbitrap	S27.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005780-Sample-6	Homo sapiens	stool	normal	not available	not available	39 years (range 22–48)	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (healthy)	not available	7.6 ppm	10 ppm	orbitrap	S28.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005780-Sample-7	Homo sapiens	stool	normal	not available	not available	39 years (range 22–48)	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (healthy)	not available	7.6 ppm	10 ppm	orbitrap	S34.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005780-Sample-8	Homo sapiens	stool	normal	not available	not available	39 years (range 22–48)	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (healthy)	not available	7.6 ppm	10 ppm	orbitrap	S36.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005780-Sample-9	Homo sapiens	stool	normal	not available	not available	39 years (range 22–48)	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (healthy)	not available	7.6 ppm	10 ppm	orbitrap	S44.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005780-Sample-10	Homo sapiens	stool	normal	not available	not available	39 years (range 22–48)	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (healthy)	not available	7.6 ppm	10 ppm	orbitrap	S51.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005780-Sample-11	Homo sapiens	stool	normal	not available	not available	39 years (range 22–48)	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (healthy)	not available	7.6 ppm	10 ppm	orbitrap	S6.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005780-Sample-12	Homo sapiens	stool	normal	not available	not available	39 years (range 22–48)	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (healthy)	not available	7.6 ppm	10 ppm	orbitrap	S61.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005780-Sample-13	Homo sapiens	stool	normal	not available	not available	39 years (range 22–48)	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (healthy)	not available	7.6 ppm	10 ppm	orbitrap	S65.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005780-Sample-14	Homo sapiens	stool	normal	not available	not available	39 years (range 22–48)	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (healthy)	not available	7.6 ppm	10 ppm	orbitrap	S7.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005780-Sample-15	Homo sapiens	stool	normal	not available	not available	39 years (range 22–48)	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (healthy)	not available	7.6 ppm	10 ppm	orbitrap	S72.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
