source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cultured cell]	assay name	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[instrument]	characteristics[enrichment method]	characteristics[enrichment process]	sampleChecksum	sampleAccession
PXD001558-sample 1 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC010	20120229_MLP_333188_ps109TiO2.raw	cytoplasm	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	797b727319dd10a7f56814494841157a19524c6d5de3090d1a42d2a04ae58b84	SAMEA7714441
PXD001558-sample 1 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC010	20120326_MLP_333188_Tio2ps109.raw	cytoplasm	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	797b727319dd10a7f56814494841157a19524c6d5de3090d1a42d2a04ae58b84	SAMEA7714441
PXD001558-sample 1 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC010	20120229_MLP_333188_ps108TiO2.raw	membrane	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	797b727319dd10a7f56814494841157a19524c6d5de3090d1a42d2a04ae58b84	SAMEA7714441
PXD001558-sample 1 cancer cells in monoculture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC010	20120229_MLP_333188_ps109TiO2.raw	cytoplasm	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	02742cc912475d6edcbd7965ce6f3e5c73b05e0d6aa172da079879daf0166cf7	SAMEA7714442
PXD001558-sample 1 cancer cells in monoculture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC010	20120326_MLP_333188_Tio2ps109.raw	cytoplasm	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	02742cc912475d6edcbd7965ce6f3e5c73b05e0d6aa172da079879daf0166cf7	SAMEA7714442
PXD001558-sample 1 cancer cells in monoculture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC010	20120229_MLP_333188_ps108TiO2.raw	membrane	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	02742cc912475d6edcbd7965ce6f3e5c73b05e0d6aa172da079879daf0166cf7	SAMEA7714442
PXD001558-sample 1 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC010	20120229_MLP_333188_ps109TiO2.raw	cytoplasm	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	448011f1c36f675e02d5dab35d473140bc03485b03a27fb27429369dbd46dbff	SAMEA7714443
PXD001558-sample 1 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC010	20120326_MLP_333188_Tio2ps109.raw	cytoplasm	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	448011f1c36f675e02d5dab35d473140bc03485b03a27fb27429369dbd46dbff	SAMEA7714443
PXD001558-sample 1 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC010	20120229_MLP_333188_ps108TiO2.raw	membrane	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	448011f1c36f675e02d5dab35d473140bc03485b03a27fb27429369dbd46dbff	SAMEA7714443
PXD001558-sample 2 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC011	20120703_MLP_363211_TiO2ps125.raw	cytoplasm	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	02288db74a45e2d575db1d4538692d46e5f4a62e6ec1d51b87cdcde8aa3563d4	SAMEA7714444
