source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD003028-Sample-1	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20141116_QEp1_LC7_PhGe_4_53_M1_2.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-2	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20141116_QEp1_LC7_PhGe_4_53_M1_3.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-3	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20141116_QEp1_LC7_PhGe_4_53_M1_4.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-4	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_1.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-5	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated2.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-6	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_1m.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-7	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated4.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-8	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated6.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-9	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated2.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-10	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated5.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
