source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD005355-Sample-1	homo sapiens	colon, rectum	colorectal cancer	epithelial cell	CRC65 panel	not available	65	not available	not available	run 1	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Elite, Orbitrap Velos	not available	24	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	Full Proteome Subtypes (FPA, FPB, FPC), Kinobeads Subtypes (KA, KB, KC), Consensus Molecular Subtypes (CMS)	9 ppm	13 ppm	orbitrap	00872_A07_P007483_B00_A00_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal cancer
PXD005355-Sample-2	homo sapiens	colon, rectum	colorectal cancer	epithelial cell	CRC65 panel	not available	65	not available	not available	run 2	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Elite, Orbitrap Velos	not available	24	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	Full Proteome Subtypes (FPA, FPB, FPC), Kinobeads Subtypes (KA, KB, KC), Consensus Molecular Subtypes (CMS)	9 ppm	13 ppm	orbitrap	00872_B02_P007444_B00_A00_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal cancer
PXD005355-Sample-3	homo sapiens	colon, rectum	colorectal cancer	epithelial cell	CRC65 panel	not available	65	not available	not available	run 3	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Elite, Orbitrap Velos	not available	24	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	Full Proteome Subtypes (FPA, FPB, FPC), Kinobeads Subtypes (KA, KB, KC), Consensus Molecular Subtypes (CMS)	9 ppm	13 ppm	orbitrap	00872_B07_P007484_B00_A00_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal cancer
PXD005355-Sample-4	homo sapiens	colon, rectum	colorectal cancer	epithelial cell	CRC65 panel	not available	65	not available	not available	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Elite, Orbitrap Velos	not available	24	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	Full Proteome Subtypes (FPA, FPB, FPC), Kinobeads Subtypes (KA, KB, KC), Consensus Molecular Subtypes (CMS)	9 ppm	13 ppm	orbitrap	00872_C02_P007445_B00_A00_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal cancer
PXD005355-Sample-5	homo sapiens	colon, rectum	colorectal cancer	epithelial cell	CRC65 panel	not available	65	not available	not available	run 5	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Elite, Orbitrap Velos	not available	24	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	Full Proteome Subtypes (FPA, FPB, FPC), Kinobeads Subtypes (KA, KB, KC), Consensus Molecular Subtypes (CMS)	9 ppm	13 ppm	orbitrap	00872_C05_P007469_B00_A00_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal cancer
PXD005355-Sample-6	homo sapiens	colon, rectum	colorectal cancer	epithelial cell	CRC65 panel	not available	65	not available	not available	run 6	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Elite, Orbitrap Velos	not available	24	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	Full Proteome Subtypes (FPA, FPB, FPC), Kinobeads Subtypes (KA, KB, KC), Consensus Molecular Subtypes (CMS)	9 ppm	13 ppm	orbitrap	00872_D01_P007438_B00_A00_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal cancer
PXD005355-Sample-7	homo sapiens	colon, rectum	colorectal cancer	epithelial cell	CRC65 panel	not available	65	not available	not available	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Elite, Orbitrap Velos	not available	24	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	Full Proteome Subtypes (FPA, FPB, FPC), Kinobeads Subtypes (KA, KB, KC), Consensus Molecular Subtypes (CMS)	9 ppm	13 ppm	orbitrap	00872_E05_P007471_B00_A00_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal cancer
PXD005355-Sample-8	homo sapiens	colon, rectum	colorectal cancer	epithelial cell	CRC65 panel	not available	65	not available	not available	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Elite, Orbitrap Velos	not available	24	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	Full Proteome Subtypes (FPA, FPB, FPC), Kinobeads Subtypes (KA, KB, KC), Consensus Molecular Subtypes (CMS)	9 ppm	13 ppm	orbitrap	00872_F06_P007480_B00_A00_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal cancer
PXD005355-Sample-9	homo sapiens	colon, rectum	colorectal cancer	epithelial cell	CRC65 panel	not available	65	not available	not available	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Elite, Orbitrap Velos	not available	24	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	Full Proteome Subtypes (FPA, FPB, FPC), Kinobeads Subtypes (KA, KB, KC), Consensus Molecular Subtypes (CMS)	9 ppm	13 ppm	orbitrap	00892_B06_P007601_B00_A00_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal cancer
PXD005355-Sample-10	homo sapiens	colon, rectum	colorectal cancer	epithelial cell	CRC65 panel	not available	65	not available	not available	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Elite, Orbitrap Velos	not available	24	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	Full Proteome Subtypes (FPA, FPB, FPC), Kinobeads Subtypes (KA, KB, KC), Consensus Molecular Subtypes (CMS)	9 ppm	13 ppm	orbitrap	00892_D02_P007571_B00_A00_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal cancer
