Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[sex]	Characteristics[age]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[infect]	Characteristics[multiplicities of infection]	assay name	comment[label]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	Factor Value[time]	Factor Value[multiplicities of infection]	sampleChecksum	sampleAccession
PXD018594-Sample 1	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0.01	run 1	AC=MS:1002038;NT=label free sample	Q10445_MS20-17_CoV2_J1(MOI-01).raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10445_MS20-17_CoV2_J1(MOI-01).raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	cell	1 day	0.01	2a92079dba522f75766072c75718d84132bf714ab3eeb8d4bb3543fccd4f8033	SAMEA7711796
PXD018594-Sample 2	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0.001	run 2	AC=MS:1002038;NT=label free sample	Q10446_MS20-17_CoV2_J1(MOI-001).raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10446_MS20-17_CoV2_J1(MOI-001).raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	cell	2 day	0.001	87af1cdf324147d12f52331da88aba6775d75283d23d2d359ccff0eab09f5c8d	SAMEA7711797
PXD018594-Sample 3	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0.01	run 3	AC=MS:1002038;NT=label free sample	Q10447_MS20-17_CoV2_J2(MOI-01).raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10447_MS20-17_CoV2_J2(MOI-01).raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	cell	2 days	0.01	26647a20cab21779aef075eb6820abd5fa84f75f3bfbcdcb5540e2aa66ac4022	SAMEA7711798
PXD018594-Sample 4	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0.001	run 4	AC=MS:1002038;NT=label free sample	Q10448_MS20-17_CoV2_J2(MOI-001).raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10448_MS20-17_CoV2_J2(MOI-001).raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	cell	2 days	0.001	5a28a4df725b1f21adc34eb66c4819ff9995645d8f7b6e8ce32b61bba1924110	SAMEA7711799
PXD018594-Sample 5	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0.01	run 5	AC=MS:1002038;NT=label free sample	Q10449_MS20-17_CoV2_J3(MOI-01).raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10449_MS20-17_CoV2_J3(MOI-01).raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	cell	3 days	0.01	e4efbc8368bab56f321d4ddda9e3d117a3738ee50060d0f16841076a1dd63994	SAMEA7711800
PXD018594-Sample 6	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0.001	run 6	AC=MS:1002038;NT=label free sample	Q10450_MS20-17_CoV2_J3(MOI-001).raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10450_MS20-17_CoV2_J3(MOI-001).raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	cell	3 days	0.001	e442ac793d57fd4bcf51d88a21822c94f16a1f3e663a3c1f9302b0252344b7f2	SAMEA7711801
PXD018594-Sample 7	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0.01	run 7	AC=MS:1002038;NT=label free sample	Q10451_MS20-17_CoV2_J4(MOI-01).raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10451_MS20-17_CoV2_J4(MOI-01).raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	cell	4 days	0.01	e281743573b9c92f950fd777411cf5fc85ae27927b4bd42a599af021900f028a	SAMEA7711802
PXD018594-Sample 8	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0.001	run 8	AC=MS:1002038;NT=label free sample	Q10452_MS20-17_CoV2_J4(MOI-001).raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10452_MS20-17_CoV2_J4(MOI-001).raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	cell	4 days	0.001	9c703099982974d5aa69dd52680b41fd60e2ce82a96a02a1dc252b5748d433aa	SAMEA7711803
PXD018594-Sample 9	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0.01	run 9	AC=MS:1002038;NT=label free sample	Q10453_MS20-17_CoV2_J7(MOI-01).raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10453_MS20-17_CoV2_J7(MOI-01).raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	cell	7 days	0.01	5b47551897d66acac8e9e853f45ac39ea61597aff83536b0424b836b194dd0ee	SAMEA7711804
PXD018594-Sample 10	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0.001	run 10	AC=MS:1002038;NT=label free sample	Q10454_MS20-17_CoV2_J7(MOI-001).raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10454_MS20-17_CoV2_J7(MOI-001).raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	cell	7 days	0.001	0275a81250a322661344a6d80685ee43a96ddfb1dbef069b0b3732adb73869f6	SAMEA7711805
