field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	347	347	0	0.0	0.0	0.0
characteristics[cell type]	Biological	347	347	0	0.0	0.0	0.0
characteristics[disease]	Biological	347	347	347	1.0	1.0	1.0
characteristics[organism part]	Biological	347	347	0	0.0	0.0	0.0
characteristics[organism]	Biological	347	347	347	1.0	1.0	1.0
characteristics[sex]	Biological	347	347	347	1.0	1.0	1.0
characteristics[biological replicate]	ExperimentalDesign	347	0	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	347	347	15	0.043227665706051875	0.043227665706051875	0.043227665706051875
comment[technical replicate]	ExperimentalDesign	347	347	43	0.1239193083573487	0.1239193083573487	0.1239193083573487
factor value[disease]	ExperimentalDesign	347	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	347	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	347	347	347	1.0	1.0	1.0
comment[dissociation method]	Technical	335	0	0	0.0	0.0	0.0
comment[fragment mass tolerance]	Technical	347	347	0	0.0	0.0	0.0
comment[instrument]	Technical	347	347	0	0.0	0.0	0.0
comment[label]	Technical	347	347	347	1.0	1.0	1.0
comment[modification parameters]	Technical	347	1388	240	0.69164265129683	0.1729106628242075	0.276657060518732
comment[ms2 mass analyzer]	Technical	347	0	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	347	347	0	0.0	0.0	0.0
comment[proteomics data acquisition method]	Technical	347	0	0	0.0	0.0	0.0
technology type	Technical	347	0	0	0.0	0.0	0.0
