source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD013923-Sample-1	homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 1	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	11	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	9.6 ppm	10 ppm	orbitrap	20131116_CCs_EV_A375_ERKi_30min_S02_12_131122013411.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-2	homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 2	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	11	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	9.6 ppm	10 ppm	orbitrap	20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6_131122061521.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-3	homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 3	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	11	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	9.6 ppm	10 ppm	orbitrap	2013114_CCS_ERKi_30min_P01.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-4	homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	11	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	9.6 ppm	10 ppm	orbitrap	2013114_CCS_ERKi_30min_P06.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-5	homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 5	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	11	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	9.6 ppm	10 ppm	orbitrap	2013114_CCS_RAFi_30min_P01.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-6	homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 6	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	11	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	9.6 ppm	10 ppm	orbitrap	2013114_CCS_RAFi_30min_P06.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-7	homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	11	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	9.6 ppm	10 ppm	orbitrap	20140210_KMJ_CCS_MEKi30min_V3_S013_14.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-8	homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	11	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	9.6 ppm	10 ppm	orbitrap	20140210_KMJ_CCS_MEKi30min_V3_S03_4_5_6.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-9	homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	11	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	9.6 ppm	10 ppm	orbitrap	20140211_KMJ_CCS_RAFi_V3_30min_P03.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-10	homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	11	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	9.6 ppm	10 ppm	orbitrap	20140213_KMJ_CCS_MEKi_V3_30min_P03.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
