field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	0	0			
characteristics[cell line]	Biological	64	64	0	0.0	0.0	0.0
characteristics[cell type]	Biological	64	64	64	1.0	1.0	1.0
characteristics[cellosaurus accession]	Biological	0	0	0			
characteristics[disease]	Biological	64	64	0	0.0	0.0	0.0
characteristics[organism part]	Biological	64	64	64	1.0	1.0	1.0
characteristics[organism]	Biological	64	64	64	1.0	1.0	1.0
characteristics[sex]	Biological	64	0	0	0.0	0.0	0.0
characteristics[biological replicate]	ExperimentalDesign	64	48	16	0.25	0.25	0.25
comment[fraction identifier]	ExperimentalDesign	64	64	64	1.0	1.0	1.0
comment[technical replicate]	ExperimentalDesign	64	0	0	0.0	0.0	0.0
factor value[disease]	ExperimentalDesign	64	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	64	0	0	0.0	0.0	0.0
comment[alkylation reagent]	Technical	64	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	64	64	64	1.0	1.0	1.0
comment[dissociation method]	Technical	64	64	64	1.0	1.0	1.0
comment[fragment mass tolerance]	Technical	64	0	0	0.0	0.0	0.0
comment[instrument]	Technical	64	64	64	1.0	1.0	1.0
comment[label]	Technical	64	64	64	1.0	1.0	1.0
comment[modification parameters]	Technical	192	160	160	0.8333335	1.0	0.9
comment[ms2 mass analyzer]	Technical	64	64	64	1.0	1.0	1.0
comment[precursor mass tolerance]	Technical	64	0	0	0.0	0.0	0.0
comment[proteomics data acquisition method]	Technical	7	0	0	0.0	0.0	0.0
comment[reduction reagent]	Technical	64	0	0	0.0	0.0	0.0
technology type	Technical	64	0	0	0.0	0.0	0.0
