source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD012987-Sample-1	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF02640.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-2	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF02642.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-3	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF02646.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-4	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF02648.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-5	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03073.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-6	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03247.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-7	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03255.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-8	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03808.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-9	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03810.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-10	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03814.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
