field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	0	0			
characteristics[cell line]	Biological	40	40	40	1.0	1.0	1.0
characteristics[cell type]	Biological	40	0	0	0.0	0.0	0.0
characteristics[cellosaurus accession]	Biological	0	0	0			
characteristics[disease]	Biological	40	40	40	1.0	1.0	1.0
characteristics[organism part]	Biological	40	40	40	1.0	1.0	1.0
characteristics[organism]	Biological	40	40	40	1.0	1.0	1.0
characteristics[sex]	Biological	0	0	0			
characteristics[biological replicate]	ExperimentalDesign	40	0	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	40	40	0	0.0	0.0	0.0
comment[technical replicate]	ExperimentalDesign	40	40	40	1.0	1.0	1.0
factor value[disease]	ExperimentalDesign	40	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	40	0	0	0.0	0.0	0.0
comment[alkylation reagent]	Technical	40	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	40	40	40	1.0	1.0	1.0
comment[dissociation method]	Technical	40	0	0	0.0	0.0	0.0
comment[fragment mass tolerance]	Technical	40	40	0	0.0	0.0	0.0
comment[instrument]	Technical	40	40	40	1.0	1.0	1.0
comment[label]	Technical	40	40	40	1.0	1.0	1.0
comment[modification parameters]	Technical	120	160	120	1.0	0.75	0.857143
comment[ms2 mass analyzer]	Technical	40	0	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	40	40	40	1.0	1.0	1.0
comment[proteomics data acquisition method]	Technical	40	0	0	0.0	0.0	0.0
comment[reduction reagent]	Technical	40	0	0	0.0	0.0	0.0
technology type	Technical	40	0	0	0.0	0.0	0.0
