source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD022741-Sample-1	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 1	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11896.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-2	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 2	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11898.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-3	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 3	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11901.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-4	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11936.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-5	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 5	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11937.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-6	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 6	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11938.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-7	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11941.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-8	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11943.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-9	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11944.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-10	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11946.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-11	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 11	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11948.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
