sdrf row	source name	logical field	sdrf header	selected value	selected source	evidence	agent status	agent confidence	judge verdict	judge hallucination	judge type mismatch	judge corrected value	resolution rule	assessment state
1	PXD005188-Sample-1	source_name	source name	PXD005188-Sample-1	derived								legacy_derivation	derived
1	PXD005188-Sample-1	organism	characteristics[organism]	Homo sapiens	biological_agent	human breast adenocarcinoma MCF-7 cells that were exposed to ionizing radiation (Fig. 1A)	AGREE	1.0	high	False	False		source_precedence:biological_agent	derived
1	PXD005188-Sample-1	organism_part	characteristics[organism part]	breast	biological_agent	human breast adenocarcinoma MCF-7 cells that were exposed to ionizing radiation (Fig. 1A)	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
1	PXD005188-Sample-1	disease	characteristics[disease]	breast carcinoma	biological_agent	human breast adenocarcinoma MCF-7 cells that were exposed to ionizing radiation (Fig. 1A)	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
1	PXD005188-Sample-1	cell_type	characteristics[cell type]	epithelial cell	biological_agent	human breast adenocarcinoma MCF-7 cells that were exposed to ionizing radiation (Fig. 1A)	LLM_ONLY	0.5					source_precedence:biological_agent	derived
1	PXD005188-Sample-1	cell_line	characteristics[cell line]	MCF-7, HEK293 Flp-In T-REx, HeLa	biological_agent	human breast adenocarcinoma MCF-7 cells that were exposed to ionizing radiation (Fig. 1A)	LLM_ONLY	0.5	medium	False	False	MCF-7, HEK293 Flp-In T-REx, HeLa	source_precedence:biological_agent	derived
1	PXD005188-Sample-1	biological_replicate	characteristics[biological replicate]	2	experimental_design_agent	the overlap between the proteins identified in both biological replicates was high	LLM_ONLY	0.5	high	False	False		source_precedence:experimental_design_agent	derived
1	PXD005188-Sample-1	assay_name	assay name	run 1	derived								legacy_derivation	derived
1	PXD005188-Sample-1	technology_type	technology type	proteomic profiling by mass spectrometry	derived								legacy_derivation	derived
1	PXD005188-Sample-1	cleavage_agent	comment[cleavage agent details]	NT=Lys-C;AC=MS:1001309	derived								legacy_derivation	derived
1	PXD005188-Sample-1	fraction_identifier	comment[fraction identifier]	1	experimental_design_agent		LLM_ONLY	0.5	high	False	False		source_precedence:experimental_design_agent	derived
1	PXD005188-Sample-1	technical_replicate	comment[technical replicate]	1	derived								fallback	not_assessed
1	PXD005188-Sample-1	factor_value	factor value[experimental design]	treatment (IR-treated, untreated), DDX54 expression (mock-transfected, siDDX54-transfected)	experimental_design_agent	For a better comparison between IR-treated and untreated cells	LLM_ONLY	0.5	medium	False	False	treatment (IR-treated, untreated), DDX54 expression (mock-transfected, siDDX54-transfected)	source_precedence:experimental_design_agent	derived
1	PXD005188-Sample-1	modification	comment[modification parameters]	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	derived								legacy_derivation	derived
1	PXD005188-Sample-1	modification	comment[modification parameters]	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	derived								legacy_derivation	derived
1	PXD005188-Sample-1	reduction_reagent	comment[reduction reagent]	dithiothreitol	derived								legacy_derivation	derived
1	PXD005188-Sample-1	alkylation_reagent	comment[alkylation reagent]	iodoacetamide	derived								legacy_derivation	derived
1	PXD005188-Sample-1	data_file	comment[data file]	Waldorf_20140930_KI_HS_miha_whole_ctrl_1.raw	derived								legacy_derivation	derived
1	PXD005188-Sample-1	sdrf_version	comment[sdrf version]	v1.1.0	derived								legacy_derivation	derived
1	PXD005188-Sample-1	annotation_tool	comment[sdrf annotation tool]	HAMLET-agentic v0.1.0	derived								legacy_derivation	derived
1	PXD005188-Sample-1	factor_disease	factor value[disease]	breast carcinoma	derived								legacy_derivation	derived
2	PXD005188-Sample-2	source_name	source name	PXD005188-Sample-2	derived								legacy_derivation	derived
2	PXD005188-Sample-2	organism	characteristics[organism]	Homo sapiens	biological_agent	human breast adenocarcinoma MCF-7 cells that were exposed to ionizing radiation (Fig. 1A)	AGREE	1.0	high	False	False		source_precedence:biological_agent	derived
2	PXD005188-Sample-2	organism_part	characteristics[organism part]	breast	biological_agent	human breast adenocarcinoma MCF-7 cells that were exposed to ionizing radiation (Fig. 1A)	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
2	PXD005188-Sample-2	disease	characteristics[disease]	breast carcinoma	biological_agent	human breast adenocarcinoma MCF-7 cells that were exposed to ionizing radiation (Fig. 1A)	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
2	PXD005188-Sample-2	cell_type	characteristics[cell type]	epithelial cell	biological_agent	human breast adenocarcinoma MCF-7 cells that were exposed to ionizing radiation (Fig. 1A)	LLM_ONLY	0.5					source_precedence:biological_agent	derived
2	PXD005188-Sample-2	cell_line	characteristics[cell line]	MCF-7, HEK293 Flp-In T-REx, HeLa	biological_agent	human breast adenocarcinoma MCF-7 cells that were exposed to ionizing radiation (Fig. 1A)	LLM_ONLY	0.5	medium	False	False	MCF-7, HEK293 Flp-In T-REx, HeLa	source_precedence:biological_agent	derived
2	PXD005188-Sample-2	biological_replicate	characteristics[biological replicate]	2	experimental_design_agent	the overlap between the proteins identified in both biological replicates was high	LLM_ONLY	0.5	high	False	False		source_precedence:experimental_design_agent	derived
2	PXD005188-Sample-2	assay_name	assay name	run 2	derived								legacy_derivation	derived
2	PXD005188-Sample-2	technology_type	technology type	proteomic profiling by mass spectrometry	derived								legacy_derivation	derived
2	PXD005188-Sample-2	cleavage_agent	comment[cleavage agent details]	NT=Lys-C;AC=MS:1001309	derived								legacy_derivation	derived
2	PXD005188-Sample-2	fraction_identifier	comment[fraction identifier]	1	experimental_design_agent		LLM_ONLY	0.5	high	False	False		source_precedence:experimental_design_agent	derived
2	PXD005188-Sample-2	technical_replicate	comment[technical replicate]	1	derived								fallback	not_assessed
2	PXD005188-Sample-2	factor_value	factor value[experimental design]	treatment (IR-treated, untreated), DDX54 expression (mock-transfected, siDDX54-transfected)	experimental_design_agent	For a better comparison between IR-treated and untreated cells	LLM_ONLY	0.5	medium	False	False	treatment (IR-treated, untreated), DDX54 expression (mock-transfected, siDDX54-transfected)	source_precedence:experimental_design_agent	derived
