source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD020187-Sample-1	homo sapiens	umbilical arteries	normal	10	not available	38–40 weeks	run 1	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Elite	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (native, decellularized)	7 ppm	11 ppm	orbitrap	D1_Nat_1.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD020187-Sample-2	homo sapiens	umbilical arteries	normal	10	not available	38–40 weeks	run 2	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Elite	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (native, decellularized)	7 ppm	11 ppm	orbitrap	D2_Nat_2.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD020187-Sample-3	homo sapiens	umbilical arteries	normal	10	not available	38–40 weeks	run 3	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Elite	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (native, decellularized)	7 ppm	11 ppm	orbitrap	D3_Nat_3.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD020187-Sample-4	homo sapiens	umbilical arteries	normal	10	not available	38–40 weeks	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Elite	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (native, decellularized)	7 ppm	11 ppm	orbitrap	D4_Nat_4.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD020187-Sample-5	homo sapiens	umbilical arteries	normal	10	not available	38–40 weeks	run 5	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Elite	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (native, decellularized)	7 ppm	11 ppm	orbitrap	D5_Nat_5.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD020187-Sample-6	homo sapiens	umbilical arteries	normal	10	not available	38–40 weeks	run 6	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Elite	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (native, decellularized)	7 ppm	11 ppm	orbitrap	E1_Dec_1.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD020187-Sample-7	homo sapiens	umbilical arteries	normal	10	not available	38–40 weeks	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Elite	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (native, decellularized)	7 ppm	11 ppm	orbitrap	E2_Dec_2.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD020187-Sample-8	homo sapiens	umbilical arteries	normal	10	not available	38–40 weeks	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Elite	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (native, decellularized)	7 ppm	11 ppm	orbitrap	E3_Dec_3.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD020187-Sample-9	homo sapiens	umbilical arteries	normal	10	not available	38–40 weeks	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Elite	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (native, decellularized)	7 ppm	11 ppm	orbitrap	E4_Dec_4.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD020187-Sample-10	homo sapiens	umbilical arteries	normal	10	not available	38–40 weeks	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Elite	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (native, decellularized)	7 ppm	11 ppm	orbitrap	E5_Dec_5.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
