"paper_id","source","mode","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD018021","","strict","Biological","age","age","40 days of development in culture","True"
"PXD018021","","strict","Biological","disease","disease","epm1, healthy","True"
"PXD018021","","strict","Biological","organ","organ","brain","True"
"PXD018021","","strict","Biological","sex","sex","female","True"
"PXD018021","","strict","Biological","species","species","Homo sapiens","True"
"PXD018021","","strict","ExperimentalDesign","factor_value","factor_value","condition (b-CTRL, UL1) | epm1, healthy","True"
"PXD018021","","strict","ExperimentalDesign","fractions","fractions","1","True"
"PXD018021","","strict","ExperimentalDesign","replicates","replicates","3","True"
"PXD018021","","strict","ExperimentalDesign","technical_replicates","technical_replicates","3","True"
"PXD018021","","strict","Technical","acquisition_method","acquisition_method","data-dependent acquisition","True"
"PXD018021","","strict","Technical","cleavage_agent","cleavage_agent","Trypsin","True"
"PXD018021","","strict","Technical","fragment_mass_tolerance","fragment_mass_tolerance","0.02 Da","True"
"PXD018021","","strict","Technical","fragmentation","fragmentation","beam-type collision-induced dissociation","True"
"PXD018021","","strict","Technical","instrument","instrument","Q Exactive","True"
"PXD018021","","strict","Technical","label","label","TMT126 | TMT127 | TMT128 | TMT129 | TMT130 | TMT131","True"
"PXD018021","","strict","Technical","mass_analyzer","mass_analyzer","orbitrap","True"
"PXD018021","","strict","Technical","modification","modification","Carbamidomethyl (C) | TMT6plex (K) | Oxidation (M) | TMTpro (K) | not applicable","True"
"PXD018021","","strict","Technical","precursor_mass_tolerance","precursor_mass_tolerance","10 ppm","True"
