source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD005780-Sample-1	Homo sapiens	not available	normal	not available	8 females and 7 males	39 years (range 22–48)	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	omics approach (metagenome, metaproteome)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	S28.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD005780-Sample-2	Homo sapiens	not available	normal	not available	8 females and 7 males	39 years (range 22–48)	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	omics approach (metagenome, metaproteome)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	S20.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD005780-Sample-3	Homo sapiens	not available	normal	not available	8 females and 7 males	39 years (range 22–48)	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	omics approach (metagenome, metaproteome)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	S44.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD005780-Sample-4	Homo sapiens	not available	normal	not available	8 females and 7 males	39 years (range 22–48)	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	omics approach (metagenome, metaproteome)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	S65.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD005780-Sample-5	Homo sapiens	not available	normal	not available	8 females and 7 males	39 years (range 22–48)	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	omics approach (metagenome, metaproteome)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	S6.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD005780-Sample-6	Homo sapiens	not available	normal	not available	8 females and 7 males	39 years (range 22–48)	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	omics approach (metagenome, metaproteome)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	S13.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD005780-Sample-7	Homo sapiens	not available	normal	not available	8 females and 7 males	39 years (range 22–48)	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	omics approach (metagenome, metaproteome)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	S61.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD005780-Sample-8	Homo sapiens	not available	normal	not available	8 females and 7 males	39 years (range 22–48)	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	omics approach (metagenome, metaproteome)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	S23.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD005780-Sample-9	Homo sapiens	not available	normal	not available	8 females and 7 males	39 years (range 22–48)	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	omics approach (metagenome, metaproteome)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	S7.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD005780-Sample-10	Homo sapiens	not available	normal	not available	8 females and 7 males	39 years (range 22–48)	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	omics approach (metagenome, metaproteome)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	S27.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD005780-Sample-11	Homo sapiens	not available	normal	not available	8 females and 7 males	39 years (range 22–48)	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	omics approach (metagenome, metaproteome)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	S34.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD005780-Sample-12	Homo sapiens	not available	normal	not available	8 females and 7 males	39 years (range 22–48)	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	omics approach (metagenome, metaproteome)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	S36.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD005780-Sample-13	Homo sapiens	not available	normal	not available	8 females and 7 males	39 years (range 22–48)	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	omics approach (metagenome, metaproteome)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	S72.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD005780-Sample-14	Homo sapiens	not available	normal	not available	8 females and 7 males	39 years (range 22–48)	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	omics approach (metagenome, metaproteome)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	S25.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD005780-Sample-15	Homo sapiens	not available	normal	not available	8 females and 7 males	39 years (range 22–48)	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	omics approach (metagenome, metaproteome)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	S51.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
