source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD040176-Sample-1	Diplonema papillatum	not available	normal	mS49, mS63, mL46, mL76, mtPrA	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tagged protein (mS49, mS63, mL46, mL76), control (wild-type, mtPrA)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	normalized collision energy at 30 V	OF_20210714_OEF_02_2.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD040176-Sample-2	Diplonema papillatum	not available	normal	mS49, mS63, mL46, mL76, mtPrA	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tagged protein (mS49, mS63, mL46, mL76), control (wild-type, mtPrA)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	normalized collision energy at 30 V	OF_20210717_OEF_04.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD040176-Sample-3	Diplonema papillatum	not available	normal	mS49, mS63, mL46, mL76, mtPrA	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tagged protein (mS49, mS63, mL46, mL76), control (wild-type, mtPrA)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	normalized collision energy at 30 V	OF_20210714_OEF_01_2.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD040176-Sample-4	Diplonema papillatum	not available	normal	mS49, mS63, mL46, mL76, mtPrA	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tagged protein (mS49, mS63, mL46, mL76), control (wild-type, mtPrA)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	normalized collision energy at 30 V	OF_20210717_OEF_05.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD040176-Sample-5	Diplonema papillatum	not available	normal	mS49, mS63, mL46, mL76, mtPrA	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tagged protein (mS49, mS63, mL46, mL76), control (wild-type, mtPrA)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	normalized collision energy at 30 V	OF_20210717_OEF_09.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD040176-Sample-6	Diplonema papillatum	not available	normal	mS49, mS63, mL46, mL76, mtPrA	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tagged protein (mS49, mS63, mL46, mL76), control (wild-type, mtPrA)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	normalized collision energy at 30 V	OF_20210717_OEF_08.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD040176-Sample-7	Diplonema papillatum	not available	normal	mS49, mS63, mL46, mL76, mtPrA	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tagged protein (mS49, mS63, mL46, mL76), control (wild-type, mtPrA)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	normalized collision energy at 30 V	OF_20210716_OEF_03.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD040176-Sample-8	Diplonema papillatum	not available	normal	mS49, mS63, mL46, mL76, mtPrA	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion	NT=Trypsin;AC=MS:1001251	not available	not available	not available	tagged protein (mS49, mS63, mL46, mL76), control (wild-type, mtPrA)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	normalized collision energy at 30 V	OF_20210717_OEF_06.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD040176-Sample-9	Diplonema papillatum	not available	normal	mS49, mS63, mL46, mL76, mtPrA	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion	NT=Trypsin;AC=MS:1001251	not available	not available	not available	tagged protein (mS49, mS63, mL46, mL76), control (wild-type, mtPrA)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	normalized collision energy at 30 V	OF_20210531_OEF_03.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD040176-Sample-10	Diplonema papillatum	not available	normal	mS49, mS63, mL46, mL76, mtPrA	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion	NT=Trypsin;AC=MS:1001251	not available	not available	not available	tagged protein (mS49, mS63, mL46, mL76), control (wild-type, mtPrA)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	normalized collision energy at 30 V	OF_20210531_OEF_01.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
