field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	573	0	0.0	0.0	0.0
characteristics[cell line]	Biological	764	0	0	0.0	0.0	0.0
characteristics[cell type]	Biological	764	764	764	1.0	1.0	1.0
characteristics[cellosaurus accession]	Biological	0	0	0			
characteristics[disease]	Biological	764	764	0	0.0	0.0	0.0
characteristics[organism part]	Biological	764	0	0	0.0	0.0	0.0
characteristics[organism]	Biological	764	166	0	0.0	0.0	0.0
characteristics[sex]	Biological	0	573	0	0.0	0.0	0.0
characteristics[biological replicate]	ExperimentalDesign	764	0	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	764	764	151	0.19764397905759162	0.19764397905759162	0.19764397905759162
comment[technical replicate]	ExperimentalDesign	764	0	0	0.0	0.0	0.0
factor value[disease]	ExperimentalDesign	764	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	764	0	0	0.0	0.0	0.0
comment[alkylation reagent]	Technical	764	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	764	764	0	0.0	0.0	0.0
comment[dissociation method]	Technical	764	0	0	0.0	0.0	0.0
comment[fragment mass tolerance]	Technical	764	0	0	0.0	0.0	0.0
comment[instrument]	Technical	764	764	0	0.0	0.0	0.0
comment[label]	Technical	0	1346	0	0.0	0.0	0.0
comment[modification parameters]	Technical	1528	764	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	764	0	0	0.0	0.0	0.0
comment[proteomics data acquisition method]	Technical	764	0	0	0.0	0.0	0.0
comment[reduction reagent]	Technical	764	0	0	0.0	0.0	0.0
technology type	Technical	764	0	0	0.0	0.0	0.0
