source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD005445-Sample-1	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-2570_AMY.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-2	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-2584_DFC.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-3	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-2709_CON.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-4	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-2784_CON.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-5	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-2792_STR.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-6	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-2800_STR.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-7	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-3142.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-8	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-3145.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-9	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-3540.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-10	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-3545.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
