source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD011175-Sample-1	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	F1_MM2.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD011175-Sample-2	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	F2_MM2.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD011175-Sample-3	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	F3_MM2.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD011175-Sample-4	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	F4_MM2.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD011175-Sample-5	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	F5_MM2.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD011175-Sample-6	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	F6_MM2.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD011175-Sample-7	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	FT_MM2.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD011175-Sample-8	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	MM1_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD011175-Sample-9	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	MM1_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD011175-Sample-10	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	MM2_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD011175-Sample-11	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	MM2_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
