source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	comment[data file]	comment[file uri]	comment[instrument]	comment[instrument serial number]	comment[operator]	comment[run start time]	comment[fraction identifier]	comment[technical replicate]	comment[cleavage agent details]	comment[label]	factor value[organism part]
sample_Brain_1	Rhyparobia maderae	brain	not applicable	not applicable	1	Q2_ColID_286_2707_01	Q2_ColID_286_2707_01.raw	file:///E:/proteomics/my_raws/Q2_ColID_286_2707_01.raw	Q Exactive Plus	Exactive Series slot #1	Susanne Neupert	2021-08-24T19:52:51	1	1	no cleavage	label free sample	brain
sample_Brain_2	Rhyparobia maderae	brain	not applicable	not applicable	2	Q2_ColID_286_2707_02_1	Q2_ColID_286_2707_02_1.raw	file:///E:/proteomics/my_raws/Q2_ColID_286_2707_02_1.raw	Q Exactive Plus	Exactive Series slot #1	Susanne Neupert	2021-08-24T22:48:23	1	1	no cleavage	label free sample	brain
sample_Brain_3	Rhyparobia maderae	brain	not applicable	not applicable	3	Q2_ColID_286_2707_01	Q2_ColID_286_2707_01.raw	file:///E:/proteomics/my_raws/Q2_ColID_286_2707_01.raw	Q Exactive Plus	Exactive Series slot #1	Susanne Neupert	2021-08-24T19:52:51	1	2	no cleavage	label free sample	brain
sample_Brain_4	Rhyparobia maderae	brain	not applicable	not applicable	4	Q2_ColID_286_2707_02_1	Q2_ColID_286_2707_02_1.raw	file:///E:/proteomics/my_raws/Q2_ColID_286_2707_02_1.raw	Q Exactive Plus	Exactive Series slot #1	Susanne Neupert	2021-08-24T22:48:23	1	1	no cleavage	label free sample	brain
sample_Brain_5	Rhyparobia maderae	brain	not applicable	not applicable	5	Q2_ColID_286_2707_01	Q2_ColID_286_2707_01.raw	file:///E:/proteomics/my_raws/Q2_ColID_286_2707_01.raw	Q Exactive Plus	Exactive Series slot #1	Susanne Neupert	2021-08-24T19:52:51	1	2	no cleavage	label free sample	brain
sample_RCC_1	Rhyparobia maderae	retrocerebral complex	not applicable	not applicable	1	Q2_ColID_286_2707_03_1	Q2_ColID_286_2707_03_1.raw	file:///E:/proteomics/my_raws/Q2_ColID_286_2707_03_1.raw	Q Exactive Plus	Exactive Series slot #1	Susanne Neupert	2021-08-25T01:43:51	1	3	no cleavage	label free sample	retrocerebral complex
sample_RCC_2	Rhyparobia maderae	retrocerebral complex	not applicable	not applicable	2	Q2_ColID_286_2707_04_1	Q2_ColID_286_2707_04_1.raw	file:///E:/proteomics/my_raws/Q2_ColID_286_2707_04_1.raw	Q Exactive Plus	Exactive Series slot #1	Susanne Neupert	2021-08-25T04:39:09	1	1	no cleavage	label free sample	retrocerebral complex
sample_AME10_1	Rhyparobia maderae	accessory medulla	not applicable	not applicable	1	Q2_ColID_337_projID_2840_01	Q2_ColID_337_projID_2840_01.raw	file:///E:/proteomics/my_raws/Q2_ColID_337_projID_2840_01.raw	Q Exactive Plus	Exactive Series slot #1	Susanne Neupert	2021-12-17T22:14:26	1	1	no cleavage	label free sample	accessory medulla
sample_AME10_2	Rhyparobia maderae	accessory medulla	not applicable	not applicable	2	Q2_ColID_337_projID_2840_02	Q2_ColID_337_projID_2840_02.raw	file:///E:/proteomics/my_raws/Q2_ColID_337_projID_2840_02.raw	Q Exactive Plus	Exactive Series slot #1	Susanne Neupert	2021-12-18T01:08:55	1	1	no cleavage	label free sample	accessory medulla
sample_AME10_3	Rhyparobia maderae	accessory medulla	not applicable	not applicable	3	Q2_ColID_337_projID_2840_01	Q2_ColID_337_projID_2840_01.raw	file:///E:/proteomics/my_raws/Q2_ColID_337_projID_2840_01.raw	Q Exactive Plus	Exactive Series slot #1	Susanne Neupert	2021-12-17T22:14:26	1	2	no cleavage	label free sample	accessory medulla
sample_AME20_1	Rhyparobia maderae	accessory medulla	not applicable	not applicable	1	Q2_ColID_337_projID_2840_02	Q2_ColID_337_projID_2840_02.raw	file:///E:/proteomics/my_raws/Q2_ColID_337_projID_2840_02.raw	Q Exactive Plus	Exactive Series slot #1	Susanne Neupert	2021-12-18T01:08:55	1	2	no cleavage	label free sample	accessory medulla
sample_AME20_2	Rhyparobia maderae	accessory medulla	not applicable	not applicable	2	Q2_ColID_337_projID_2840_02	Q2_ColID_337_projID_2840_02.raw	file:///E:/proteomics/my_raws/Q2_ColID_337_projID_2840_02.raw	Q Exactive Plus	Exactive Series slot #1	Susanne Neupert	2021-12-18T01:08:55	1	3	no cleavage	label free sample	accessory medulla
