"paper_id","source","mode","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD004705","","strict","Biological","age","age","14 DAG","True"
"PXD004705","","strict","Biological","disease","disease","normal","True"
"PXD004705","","strict","Biological","organ","organ","young seedlings","True"
"PXD004705","","strict","Biological","species","species","Oryza sativa L.","True"
"PXD004705","","strict","ExperimentalDesign","factor_value","factor_value","time after BR treatment (0h, 3h, 12h) | normal","True"
"PXD004705","","strict","ExperimentalDesign","fractions","fractions","1","True"
"PXD004705","","strict","ExperimentalDesign","replicates","replicates","9","True"
"PXD004705","","strict","ExperimentalDesign","technical_replicates","technical_replicates","1","True"
"PXD004705","","strict","Technical","acquisition_method","acquisition_method","data-dependent acquisition","True"
"PXD004705","","strict","Technical","cleavage_agent","cleavage_agent","Trypsin","True"
"PXD004705","","strict","Technical","fragment_mass_tolerance","fragment_mass_tolerance","50 mmu","True"
"PXD004705","","strict","Technical","fragmentation","fragmentation","beam-type collision-induced dissociation","True"
"PXD004705","","strict","Technical","instrument","instrument","Q Exactive Plus","True"
"PXD004705","","strict","Technical","label","label","label free","True"
"PXD004705","","strict","Technical","mass_analyzer","mass_analyzer","orbitrap","True"
"PXD004705","","strict","Technical","modification","modification","Oxidation (M) | Acetyl (K) | Phospho (STY)","True"
"PXD004705","","strict","Technical","precursor_mass_tolerance","precursor_mass_tolerance","20 ppm","True"
