source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD003977-Sample-1	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_ET_F12F27_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-2	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_ET_F13F28_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-3	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	NT=collision-induced dissociation;AC=MS:1000133	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_ET_F13F28_uni.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-4	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_ET_F13_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-5	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	NT=collision-induced dissociation;AC=MS:1000133	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_ET_F15F30_uni.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-6	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_ET_F15_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-7	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_ET_F16_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-8	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_ET_F17F32_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-9	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_ET_F19_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-10	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_ET_F21F36_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-11	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_ET_F22F37_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
