field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	124	0	0.0	0.0	0.0
characteristics[cell line]	Biological	124	124	0	0.0	0.0	0.0
characteristics[cell type]	Biological	124	124	0	0.0	0.0	0.0
characteristics[cellosaurus accession]	Biological	0	0	0			
characteristics[disease]	Biological	124	124	0	0.0	0.0	0.0
characteristics[organism part]	Biological	124	0	0	0.0	0.0	0.0
characteristics[organism]	Biological	124	124	124	1.0	1.0	1.0
characteristics[sex]	Biological	0	124	0	0.0	0.0	0.0
characteristics[biological replicate]	ExperimentalDesign	124	0	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	124	124	0	0.0	0.0	0.0
comment[technical replicate]	ExperimentalDesign	124	0	0	0.0	0.0	0.0
factor value[disease]	ExperimentalDesign	124	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	124	0	0	0.0	0.0	0.0
comment[alkylation reagent]	Technical	124	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	124	248	124	1.0	0.5	0.666667
comment[dissociation method]	Technical	124	0	0	0.0	0.0	0.0
comment[fragment mass tolerance]	Technical	124	0	0	0.0	0.0	0.0
comment[instrument]	Technical	124	124	124	1.0	1.0	1.0
comment[label]	Technical	0	372	0	0.0	0.0	0.0
comment[modification parameters]	Technical	372	442	318	0.8548388548387097	0.7137098225806452	0.7741937741935484
comment[ms2 mass analyzer]	Technical	124	0	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	124	0	0	0.0	0.0	0.0
comment[proteomics data acquisition method]	Technical	124	0	0	0.0	0.0	0.0
technology type	Technical	124	0	0	0.0	0.0	0.0
