field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	0	0			
characteristics[disease]	Biological	150	150	0	0.0	0.0	0.0
characteristics[organism part]	Biological	150	150	0	0.0	0.0	0.0
characteristics[organism]	Biological	150	150	150	1.0	1.0	1.0
characteristics[sex]	Biological	0	150	0	0.0	0.0	0.0
characteristics[biological replicate]	ExperimentalDesign	150	0	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	150	150	10	0.06666666666666667	0.06666666666666667	0.06666666666666667
comment[technical replicate]	ExperimentalDesign	150	0	0	0.0	0.0	0.0
factor value[disease]	ExperimentalDesign	150	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	150	0	0	0.0	0.0	0.0
comment[alkylation reagent]	Technical	150	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	150	150	150	1.0	1.0	1.0
comment[dissociation method]	Technical	147	150	147	0.98	0.98	0.98
comment[fragment mass tolerance]	Technical	150	0	0	0.0	0.0	0.0
comment[instrument]	Technical	150	150	150	1.0	1.0	1.0
comment[label]	Technical	150	150	150	1.0	1.0	1.0
comment[modification parameters]	Technical	150	150	0	0.0	0.0	0.0
comment[ms2 mass analyzer]	Technical	150	0	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	150	0	0	0.0	0.0	0.0
comment[proteomics data acquisition method]	Technical	150	0	0	0.0	0.0	0.0
technology type	Technical	150	0	0	0.0	0.0	0.0
