sdrf row	source name	logical field	sdrf header	selected value	selected source	evidence	agent status	agent confidence	judge verdict	judge hallucination	judge type mismatch	judge corrected value	resolution rule	assessment state
1	PXD061454-Sample-1	source_name	source name	PXD061454-Sample-1	derived								legacy_derivation	derived
1	PXD061454-Sample-1	organism	characteristics[organism]	Homo sapiens	biological_agent	Employing a stable isotope labeling in cell culture analysis in T47D breast cancer cells	AGREE	0.9674093127250672	high	False	False		source_precedence:biological_agent	derived
1	PXD061454-Sample-1	organism_part	characteristics[organism part]	breast	biological_agent	Employing a stable isotope labeling in cell culture analysis in T47D breast cancer cells	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
1	PXD061454-Sample-1	disease	characteristics[disease]	breast carcinoma	biological_agent	Employing a stable isotope labeling in cell culture analysis in T47D breast cancer cells	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
1	PXD061454-Sample-1	cell_type	characteristics[cell type]	epithelial cell	biological_agent	Employing a stable isotope labeling in cell culture analysis in T47D breast cancer cells	LLM_ONLY	0.5					source_precedence:biological_agent	derived
1	PXD061454-Sample-1	cell_line	characteristics[cell line]	T47D, MDA-MB-231, MDA-MB-468, MCF7	biological_agent	To determine the influence of MDM2 on signal transduction at the chromatin protein level we performed stable isotope labeling with amino acids in cell culture (SILAC) in T47D vector control and T47D shmdm2 (MDM2-depleted) cells.	LLM_ONLY	0.5	medium	False	False	T47D, MDA-MB-231, MDA-MB-468, MCF7	source_precedence:biological_agent	derived
1	PXD061454-Sample-1	assay_name	assay name	run 1	derived								legacy_derivation	derived
1	PXD061454-Sample-1	technology_type	technology type	proteomic profiling by mass spectrometry	derived								legacy_derivation	derived
1	PXD061454-Sample-1	acquisition	comment[proteomics data acquisition method]	NT=data-dependent acquisition;AC=PRIDE:0000627	runassessor								source_precedence:runassessor	derived
1	PXD061454-Sample-1	instrument	comment[instrument]	NT=Q Exactive Plus;AC=MS:1002634	runassessor								source_precedence:runassessor	derived
1	PXD061454-Sample-1	dissociation	comment[dissociation method]	NT=beam-type collision-induced dissociation;AC=MS:1000422	runassessor								source_precedence:runassessor	derived
1	PXD061454-Sample-1	factor_value	factor value[experimental design]	MDM2 expression (vector control, shmdm2/MDM2-depleted), MDMX expression (vector control, shmdmx/MDMX-depleted), drug treatment (Nutlin 3a, ALRN-6924, Etoposide, KU-55933), cell line (T47D, MDA-MB-231, MDA-MB-468)	experimental_design_agent	T47D vector control and T47D shmdm2 (MDM2-depleted) cells	LLM_ONLY	0.5	medium	False	False	MDM2 expression (vector control, shmdm2/MDM2-depleted), MDMX expression (vector control, shmdmx/MDMX-depleted), drug treatment (Nutlin 3a, ALRN-6924, Etoposide, KU-55933), cell line (T47D, MDA-MB-231, MDA-MB-468)	source_precedence:experimental_design_agent	derived
1	PXD061454-Sample-1	modification	comment[modification parameters]	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	derived								legacy_derivation	derived
1	PXD061454-Sample-1	modification	comment[modification parameters]	NT=pyrophosphorylation of Ser/Thr;AC=UNIMOD:898;MT=Variable;TA=S	derived								legacy_derivation	derived
1	PXD061454-Sample-1	precursor_tolerance	comment[precursor mass tolerance]	7 ppm	derived								legacy_derivation	derived
1	PXD061454-Sample-1	fragment_tolerance	comment[fragment mass tolerance]	8 ppm	derived								legacy_derivation	derived
1	PXD061454-Sample-1	ms2_analyzer	comment[ms2 mass analyzer]	orbitrap	derived								legacy_derivation	derived
1	PXD061454-Sample-1	data_file	comment[data file]	x759AP_S1_1R1_40_JillBargonetti.raw	derived								legacy_derivation	derived
1	PXD061454-Sample-1	sdrf_version	comment[sdrf version]	v1.1.0	derived								legacy_derivation	derived
1	PXD061454-Sample-1	annotation_tool	comment[sdrf annotation tool]	HAMLET-agentic v2.1.0	derived								legacy_derivation	derived
1	PXD061454-Sample-1	factor_disease	factor value[disease]	breast carcinoma	derived								legacy_derivation	derived
