"paper_id","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD013923","Biological","cell_line","cell_line","A375, HEK293, HEK293T","True"
"PXD013923","Biological","cell_type","cell_type","melanoma cells","True"
"PXD013923","Biological","disease","disease","melanoma","True"
"PXD013923","Biological","organ","organ","skin","True"
"PXD013923","Biological","species","species","homo sapiens","True"
"PXD013923","ExperimentalDesign","factor_value","factor_value","inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO) | melanoma","True"
"PXD013923","ExperimentalDesign","fractions","fractions","11","True"
"PXD013923","ExperimentalDesign","replicates","replicates","3","True"
"PXD013923","ExperimentalDesign","technical_replicates","technical_replicates","1","True"
"PXD013923","Technical","acquisition_method","acquisition_method","data-dependent acquisition","True"
"PXD013923","Technical","fragment_mass_tolerance","fragment_mass_tolerance","10 ppm","True"
"PXD013923","Technical","fragmentation","fragmentation","beam-type collision-induced dissociation","True"
"PXD013923","Technical","instrument","instrument","Q Exactive","True"
"PXD013923","Technical","label","label","label free","True"
"PXD013923","Technical","mass_analyzer","mass_analyzer","orbitrap","True"
"PXD013923","Technical","precursor_mass_tolerance","precursor_mass_tolerance","9.6 ppm","True"
