field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	0	0			
characteristics[disease]	Biological	37	37	0	0.0	0.0	0.0
characteristics[organism part]	Biological	37	37	37	1.0	1.0	1.0
characteristics[organism]	Biological	37	37	37	1.0	1.0	1.0
characteristics[sex]	Biological	0	0	0			
characteristics[biological replicate]	ExperimentalDesign	37	0	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	37	37	2	0.05405405405405406	0.05405405405405406	0.05405405405405406
comment[technical replicate]	ExperimentalDesign	37	37	37	1.0	1.0	1.0
factor value[disease]	ExperimentalDesign	37	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	37	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	0	37	0	0.0	0.0	0.0
comment[dissociation method]	Technical	31	37	31	0.8378378378378378	0.8378378378378378	0.8378378378378378
comment[fragment mass tolerance]	Technical	37	37	37	1.0	1.0	1.0
comment[instrument]	Technical	37	37	37	1.0	1.0	1.0
comment[label]	Technical	37	37	37	1.0	1.0	1.0
comment[modification parameters]	Technical	0	74	0	0.0	0.0	0.0
comment[ms2 mass analyzer]	Technical	37	37	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	37	37	37	1.0	1.0	1.0
comment[proteomics data acquisition method]	Technical	37	0	0	0.0	0.0	0.0
technology type	Technical	37	0	0	0.0	0.0	0.0
