source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD018357-Sample-1	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 1	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_24h_5v5_F10.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD018357-Sample-2	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 2	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_24h_5v5_F11.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD018357-Sample-3	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 3	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_24h_5v5_F12.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD018357-Sample-4	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_24h_5v5_F13.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD018357-Sample-5	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 5	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_24h_5v5_F14.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD018357-Sample-6	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 6	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_24h_5v5_F15.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD018357-Sample-7	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_24h_5v5_F16.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD018357-Sample-8	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_24h_5v5_F17.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD018357-Sample-9	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_24h_5v5_F18.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD018357-Sample-10	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_24h_5v5_F19.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
