"paper_id","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD041681","BiologicalAgent","species","species","Homo sapiens","True"
"PXD041681","BiologicalAgent","tissue","organ","blood","True"
"PXD041681","BiologicalAgent","cell_type","cell_type","platelets","True"
"PXD041681","BiologicalAgent","disease_state","disease","COVID-19","True"
"PXD041681","BiologicalAgent","sample_source","material_type","patients","True"
"PXD041681","BiologicalAgent","age","age","≥18 years of age","True"
"PXD041681","BiologicalAgent","anatomic_site_tumor","anatomic_site_tumor","","False"
"PXD041681","BiologicalAgent","BMI","BMI","","False"
"PXD041681","BiologicalAgent","cell_line","cell_line","","False"
"PXD041681","BiologicalAgent","sex","sex","male","True"
"PXD041681","BiologicalAgent","strain","strain","","False"
"PXD041681","BiologicalAgent","material_type","material_type","patients","True"
"PXD041681","BiologicalAgent","developmental_stage","developmental_stage","","False"
"PXD041681","TechnicalAgent","acquisition_method","acquisition_method","","False"
"PXD041681","TechnicalAgent","alkylation_reagent","alkylation_reagent","","False"
"PXD041681","TechnicalAgent","alkylation_concentration","alkylation_concentration","","False"
"PXD041681","TechnicalAgent","cleavage_agent","cleavage_agent","","False"
"PXD041681","TechnicalAgent","collision_energy","collision_energy","","False"
"PXD041681","TechnicalAgent","enrichment_method","enrichment_method","","False"
"PXD041681","TechnicalAgent","fractionation_method","fractionation","","False"
"PXD041681","TechnicalAgent","fragmentation_method","fragmentation","","False"
"PXD041681","TechnicalAgent","instrument","instrument","Orbitrap Fusion Lumos","True"
"PXD041681","TechnicalAgent","ionization_type","ionization_type","","False"
"PXD041681","TechnicalAgent","labeling","label","label-free","True"
"PXD041681","TechnicalAgent","reduction_reagent","reduction_reagent","","False"
"PXD041681","TechnicalAgent","reduction_concentration","reduction_concentration","","False"
"PXD041681","ExperimentalDesignAgent","biological_replicate","replicates","19 ICU patients, 5 NW patients, and 16 healthy controls | 40","True"
"PXD041681","ExperimentalDesignAgent","technical_replicate","technical_replicates","","False"
"PXD041681","ExperimentalDesignAgent","experimental_design","experimental_design","","False"
"PXD041681","ExperimentalDesignAgent","factor_value","factor_value","clinical status (ICU patients, NW patients, healthy controls)","True"
"PXD041681","ExperimentalDesignAgent","number_of_fractions","fractions","1","True"
"PXD041681","ExperimentalDesignAgent","number_of_technical_replicates","technical_replicates","","False"
"PXD041681","ExperimentalDesignAgent","number_of_biological_replicates","replicates","19 ICU patients, 5 NW patients, and 16 healthy controls | 40","True"
"PXD041681","ExperimentalDesignAgent","number_of_samples","number_of_samples","40","True"
