source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD041681-Sample-1	homo sapiens	blood	covid-19, healthy	platelets	40	male	≥18 years of age	run 1	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Fusion Lumos	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient group (ICU, NW, healthy controls)	6 ppm	12 ppm	orbitrap	FLI13755.raw	v1.1.0	HAMLET-agentic v0.1.0	covid-19, healthy
PXD041681-Sample-2	homo sapiens	blood	covid-19, healthy	platelets	40	male	≥18 years of age	run 2	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Fusion Lumos	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient group (ICU, NW, healthy controls)	6 ppm	12 ppm	orbitrap	FLI13759.raw	v1.1.0	HAMLET-agentic v0.1.0	covid-19, healthy
PXD041681-Sample-3	homo sapiens	blood	covid-19, healthy	platelets	40	male	≥18 years of age	run 3	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Fusion Lumos	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient group (ICU, NW, healthy controls)	6 ppm	12 ppm	orbitrap	FLI13761.raw	v1.1.0	HAMLET-agentic v0.1.0	covid-19, healthy
PXD041681-Sample-4	homo sapiens	blood	covid-19, healthy	platelets	40	male	≥18 years of age	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Fusion Lumos	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient group (ICU, NW, healthy controls)	6 ppm	12 ppm	orbitrap	FLI13771.raw	v1.1.0	HAMLET-agentic v0.1.0	covid-19, healthy
PXD041681-Sample-5	homo sapiens	blood	covid-19, healthy	platelets	40	male	≥18 years of age	run 5	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Fusion Lumos	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient group (ICU, NW, healthy controls)	6 ppm	12 ppm	orbitrap	FLI13773.raw	v1.1.0	HAMLET-agentic v0.1.0	covid-19, healthy
PXD041681-Sample-6	homo sapiens	blood	covid-19, healthy	platelets	40	male	≥18 years of age	run 6	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Fusion Lumos	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient group (ICU, NW, healthy controls)	6 ppm	12 ppm	orbitrap	FLI13775.raw	v1.1.0	HAMLET-agentic v0.1.0	covid-19, healthy
PXD041681-Sample-7	homo sapiens	blood	covid-19, healthy	platelets	40	male	≥18 years of age	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Fusion Lumos	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient group (ICU, NW, healthy controls)	6 ppm	12 ppm	orbitrap	FLI13777.raw	v1.1.0	HAMLET-agentic v0.1.0	covid-19, healthy
PXD041681-Sample-8	homo sapiens	blood	covid-19, healthy	platelets	40	male	≥18 years of age	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Fusion Lumos	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient group (ICU, NW, healthy controls)	6 ppm	12 ppm	orbitrap	FLI13779.raw	v1.1.0	HAMLET-agentic v0.1.0	covid-19, healthy
PXD041681-Sample-9	homo sapiens	blood	covid-19, healthy	platelets	40	male	≥18 years of age	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Fusion Lumos	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient group (ICU, NW, healthy controls)	6 ppm	12 ppm	orbitrap	FLI13781.raw	v1.1.0	HAMLET-agentic v0.1.0	covid-19, healthy
PXD041681-Sample-10	homo sapiens	blood	covid-19, healthy	platelets	40	male	≥18 years of age	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Orbitrap Fusion Lumos	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient group (ICU, NW, healthy controls)	6 ppm	12 ppm	orbitrap	FLI13783.raw	v1.1.0	HAMLET-agentic v0.1.0	covid-19, healthy
