"paper_id","source","mode","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD026287","","strict","Biological","age","age","2-week-old","True"
"PXD026287","","strict","Biological","disease","disease","wt, mutant","True"
"PXD026287","","strict","Biological","organ","organ","root","True"
"PXD026287","","strict","Biological","species","species","Arabidopsis","True"
"PXD026287","","strict","ExperimentalDesign","factor_value","factor_value","Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP) | wt, mutant","True"
"PXD026287","","strict","ExperimentalDesign","fractions","fractions","1","True"
"PXD026287","","strict","ExperimentalDesign","replicates","replicates","12","True"
"PXD026287","","strict","ExperimentalDesign","technical_replicates","technical_replicates","5","True"
"PXD026287","","strict","Technical","cleavage_agent","cleavage_agent","Trypsin","True"
"PXD026287","","strict","Technical","instrument","instrument","LTQ Orbitrap Velos Pro","True"
"PXD026287","","strict","Technical","label","label","label free","True"
"PXD026287","","strict","Technical","mass_analyzer","mass_analyzer","orbitrap","True"
"PXD026287","","strict","Technical","reduction_reagent","reduction_reagent","dithiothreitol","True"
