source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD015744-Sample-1	homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	epithelial cell	20	not available	not available	run 1	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease (PDAC), overall survival, disease-free survival	8 ppm	13 ppm	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_A3.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-2	homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	epithelial cell	20	not available	not available	run 2	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease (PDAC), overall survival, disease-free survival	8 ppm	13 ppm	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_B2.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-3	homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	epithelial cell	20	not available	not available	run 3	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease (PDAC), overall survival, disease-free survival	8 ppm	13 ppm	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_C3.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-4	homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	epithelial cell	20	not available	not available	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease (PDAC), overall survival, disease-free survival	8 ppm	13 ppm	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_C4.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-5	homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	epithelial cell	20	not available	not available	run 5	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease (PDAC), overall survival, disease-free survival	8 ppm	13 ppm	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_D3.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-6	homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	epithelial cell	20	not available	not available	run 6	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease (PDAC), overall survival, disease-free survival	8 ppm	13 ppm	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_E4.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-7	homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	epithelial cell	20	not available	not available	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease (PDAC), overall survival, disease-free survival	8 ppm	13 ppm	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_F3.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-8	homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	epithelial cell	20	not available	not available	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease (PDAC), overall survival, disease-free survival	8 ppm	13 ppm	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_F5.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-9	homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	epithelial cell	20	not available	not available	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease (PDAC), overall survival, disease-free survival	8 ppm	13 ppm	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_G2.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-10	homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	epithelial cell	20	not available	not available	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease (PDAC), overall survival, disease-free survival	8 ppm	13 ppm	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_H2.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-11	homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	epithelial cell	20	not available	not available	run 11	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease (PDAC), overall survival, disease-free survival	8 ppm	13 ppm	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_H4.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-12	homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	epithelial cell	20	not available	not available	run 12	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease (PDAC), overall survival, disease-free survival	8 ppm	13 ppm	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_H5.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-13	homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	epithelial cell	20	not available	not available	run 13	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease (PDAC), overall survival, disease-free survival	8 ppm	13 ppm	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_I1.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-14	homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	epithelial cell	20	not available	not available	run 14	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease (PDAC), overall survival, disease-free survival	8 ppm	13 ppm	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_J3.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-15	homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	epithelial cell	20	not available	not available	run 15	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease (PDAC), overall survival, disease-free survival	8 ppm	13 ppm	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_J5.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-16	homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	epithelial cell	20	not available	not available	run 16	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease (PDAC), overall survival, disease-free survival	8 ppm	13 ppm	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_K2.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-17	homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	epithelial cell	20	not available	not available	run 17	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease (PDAC), overall survival, disease-free survival	8 ppm	13 ppm	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_K4.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-18	homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	epithelial cell	20	not available	not available	run 18	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease (PDAC), overall survival, disease-free survival	8 ppm	13 ppm	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_L1.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-19	homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	epithelial cell	20	not available	not available	run 19	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease (PDAC), overall survival, disease-free survival	8 ppm	13 ppm	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_M3.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-20	homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	epithelial cell	20	not available	not available	run 20	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease (PDAC), overall survival, disease-free survival	8 ppm	13 ppm	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_M4.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-21	homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	epithelial cell	20	not available	not available	run 21	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease (PDAC), overall survival, disease-free survival	8 ppm	13 ppm	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_N1.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
