field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	0	0			
characteristics[disease]	Biological	153	153	0	0.0	0.0	0.0
characteristics[organism part]	Biological	153	138	0	0.0	0.0	0.0
characteristics[organism]	Biological	153	153	153	1.0	1.0	1.0
characteristics[sex]	Biological	0	153	0	0.0	0.0	0.0
characteristics[biological replicate]	ExperimentalDesign	153	0	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	153	153	10	0.06535947712418301	0.06535947712418301	0.06535947712418301
comment[technical replicate]	ExperimentalDesign	153	0	0	0.0	0.0	0.0
factor value[disease]	ExperimentalDesign	153	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	153	0	0	0.0	0.0	0.0
comment[alkylation reagent]	Technical	153	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	153	153	153	1.0	1.0	1.0
comment[dissociation method]	Technical	149	153	149	0.9738562091503268	0.9738562091503268	0.9738562091503268
comment[fragment mass tolerance]	Technical	153	0	0	0.0	0.0	0.0
comment[instrument]	Technical	153	153	153	1.0	1.0	1.0
comment[label]	Technical	153	153	153	1.0	1.0	1.0
comment[modification parameters]	Technical	153	306	153	1.0	0.5	0.666667
comment[ms2 mass analyzer]	Technical	153	0	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	153	0	0	0.0	0.0	0.0
comment[proteomics data acquisition method]	Technical	153	0	0	0.0	0.0	0.0
technology type	Technical	153	0	0	0.0	0.0	0.0
