"paper_id","source","mode","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD019394","","strict","Biological","age","age","three-week-old","True"
"PXD019394","","strict","Biological","cell_type","cell_type","red blood cells","True"
"PXD019394","","strict","Biological","disease","disease","normal","True"
"PXD019394","","strict","Biological","organ","organ","brain, brown fat, heart, liver, lung, kidney, pancreas, spleen, and testis","True"
"PXD019394","","strict","Biological","sex","sex","male","True"
"PXD019394","","strict","Biological","species","species","Mus musculus","True"
"PXD019394","","strict","ExperimentalDesign","factor_value","factor_value","tissue (brain, brown fat, heart, liver, lung, kidney, pancreas, spleen, testis) | normal","True"
"PXD019394","","strict","ExperimentalDesign","fractions","fractions","12","True"
"PXD019394","","strict","ExperimentalDesign","replicates","replicates","1","True"
"PXD019394","","strict","ExperimentalDesign","technical_replicates","technical_replicates","2","True"
"PXD019394","","strict","Technical","acquisition_method","acquisition_method","data-dependent acquisition","True"
"PXD019394","","strict","Technical","cleavage_agent","cleavage_agent","Trypsin","True"
"PXD019394","","strict","Technical","fragment_mass_tolerance","fragment_mass_tolerance","-0.448627 ppm","True"
"PXD019394","","strict","Technical","fragmentation","fragmentation","collision-induced dissociation","True"
"PXD019394","","strict","Technical","instrument","instrument","LTQ-Orbitrap, LTQ-Velos-Orbitrap","True"
"PXD019394","","strict","Technical","label","label","label free","True"
"PXD019394","","strict","Technical","mass_analyzer","mass_analyzer","orbitrap","True"
"PXD019394","","strict","Technical","modification","modification","Phospho (STY)","True"
"PXD019394","","strict","Technical","precursor_mass_tolerance","precursor_mass_tolerance","7 ppm","True"
