"paper_id","agent","annotation_type","extracted_value","all_values_for_field","verdict","type_mismatch","correct_type","value_correct","value_complete","hallucination","issue_summary","corrected_value"
"PXD069044","BiologicalAgent","species","Homo sapiens","Homo sapiens","high","False","","True","True","False","TYPE CHECK:        The candidate value is a scientific name for a species, which matches the field definition.
SOURCE CHECK:      The paper explicitly mentions ""human NK-cell differentiation"" and ""primary human NK-cells"" multiple times.
TRUTH CHECK:       ""Homo sapiens"" is the correct scientific name for humans.
COMPLETENESS CHECK: The full set contains the only species used in the study.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD069044","BiologicalAgent","organ","blood","blood","high","False","","True","True","False","TYPE CHECK:        The candidate value ""blood"" is a valid organ/tissue type.
SOURCE CHECK:      The paper mentions ""freshly isolated NK-cells"" and ""CD56dim counterparts from the peripheral blood,"" implying the source of the primary NK-cells is blood.
TRUTH CHECK:       The extraction is factually correct as the primary human NK-cells were isolated from donors (peripheral blood).
COMPLETENESS CHECK: The full set contains ""blood"", which accurately describes the origin of the primary cells used in the study.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD069044","BiologicalAgent","cell_type","NK-cells","NK-cells","high","False","","True","True","False","TYPE CHECK:        The candidate value ""NK-cells"" is a primary cell type/lineage, which matches the field definition.
SOURCE CHECK:      The paper explicitly mentions ""human NK-cells"" and ""primary human NK-cells"" throughout the text.
TRUTH CHECK:       The value is factually correct as the study focuses on the role of PRDM1 in NK-cells.
COMPLETENESS CHECK: The full set of extracted values (""NK-cells"") covers the primary cell type described in the study.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD069044","BiologicalAgent","disease","normal","normal","high","False","","True","True","False","TYPE CHECK:        The candidate value ""normal"" is a valid category for the disease field when subjects are healthy controls.
SOURCE CHECK:      The methods section states ""NK-cells were isolated from healthy donors,"" making ""normal"" a safe default.
TRUTH CHECK:       The use of healthy donors confirms the ""normal"" disease state for the primary NK-cell experiments.
COMPLETENESS CHECK: The full set contains ""normal"", which accurately covers the status of the primary human NK-cells used in the study.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD069044","BiologicalAgent","material_type","healthy donors","","low","True","","False","False","False","TYPE CHECK:        No, ""healthy donors"" refers to the source of the material (subjects), not the broad material class (e.g., primary cells, tissue).
SOURCE CHECK:      The phrase ""healthy donors"" is present in the text, but it describes the donors, not the material type.
TRUTH CHECK:       The material used was primary NK-cells isolated from these donors, not the donors themselves.
COMPLETENESS CHECK:The full set contains only a value that is a type mismatch; it does not capture the actual material types used (primary cells and cell lines).
TYPE_CORRECT:      no
CORRECT_TYPE_NAME: material_type
VALUE_CORRECT:     no
VALUE_COMPLETE:    no
HALLUCINATED:      no
VERDICT:           low
CORRECTED_VALUE:   [""primary cells"", ""cell line""]","primary cells, cell line"
"PXD069044","BiologicalAgent","cell_line","NKYS","NKYS","medium","False","","True","False","False","TYPE CHECK:        The candidate value is a name of a cell line, which matches the field definition.
SOURCE CHECK:      The value ""NKYS"" is explicitly mentioned in the text (""We overexpressed PRDM1β coding sequence in NKYS cells"" and ""RIME assay on NK-IL2-D6, NK-F-D13, and the NKYS cell line"").
TRUTH CHECK:       The value is factually correct as it is identified as a cell line in the paper.
COMPLETENESS CHECK: The full set of extracted values includes ""NKYS"", but the paper also mentions ""KHYG1"" (an NK-cell lymphoma line) and ""K562"" (a feeder cell line).
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    no
HALLUCINATED:      no
VERDICT:           medium
CORRECTED_VALUE:   [""NKYS"", ""KHYG1"", ""K562""]","NKYS, KHYG1, K562"
"PXD069044","TechnicalAgent","instrument","Orbitrap Fusion Lumos","","low","False","","False","False","True","TYPE CHECK:        The candidate value is a mass spectrometer model, which matches the required category.
SOURCE CHECK:      The paper mentions that mass spectrometry (MS) was performed for isoform validation and interacting partner identification (RIME and APEX2), but the specific instrument model ""Orbitrap Fusion Lumos"" is not mentioned in the provided text.
TRUTH CHECK:       The value is not supported by the provided text.
COMPLETENESS CHECK: The full set contains only this value, which is not present in the text.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     no
VALUE_COMPLETE:    no
HALLUCINATED:      yes
VERDICT:           low
CORRECTED_VALUE:   NONE",""
"PXD069044","TechnicalAgent","label","label-free","label-free","high","False","","True","True","False","TYPE CHECK:        The candidate value ""label-free"" is a valid category for the label field.
SOURCE CHECK:      The paper describes mass spectrometry (MS) for isoform validation, RIME, and APEX2 proximity biotinylation, but mentions no isobaric or metabolic labels.
TRUTH CHECK:       Since no specific labeling method (like TMT or SILAC) is mentioned, ""label-free"" is the correct safe default.
COMPLETENESS CHECK: The full set contains only ""label-free"", which is exhaustive for this paper.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD069044","ExperimentalDesignAgent","replicates","NK-IL2-D6, NK-F-D13, NKYS cell line, and APEX2-tagged NK-cells (d7, d28)","5","low","True","","False","False","False","TYPE CHECK:        The candidate value is a list of sample groups/cell types, not a numeric count of biological replicates.
SOURCE CHECK:      The mentioned groups are present in the text, but they are not the number of replicates.
TRUTH CHECK:       The value is factually incorrect for the field 'replicates'.
COMPLETENESS CHECK: The full set contains a numeric value (""5"") and a list of samples; the list of samples is a type mismatch.
TYPE_CORRECT:      no
CORRECT_TYPE_NAME: replicates
VALUE_CORRECT:     no
VALUE_COMPLETE:    no
HALLUCINATED:      no
VERDICT:           low
CORRECTED_VALUE:   NONE",""
"PXD069044","ExperimentalDesignAgent","replicates","5","5","medium","False","","True","False","False","TYPE CHECK:        The candidate value ""5"" is a numeric count, which is the correct category for the 'replicates' field.
SOURCE CHECK:      The paper states in the methods section under ""ChIP-seq, ATAC-seq, and RNA-seq"" that ""For each assay, 3–5 replicates were included for each group"".
TRUTH CHECK:       The value ""5"" is part of the reported range (3-5) for biological replicates.
COMPLETENESS CHECK: The full set of extracted values is not exhaustive or correct; one value is a list of samples (type mismatch) and the other is a single number from a range. The paper specifies a range of ""3-5"" replicates.

TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    no
HALLUCINATED:      no
VERDICT:           medium
CORRECTED_VALUE:   [""3-5""]","3-5"
